sample_index,split,label,original_label_id,unified_token_id,signer_id,video,original_active_frames,prepared_frames,start,end
95,test,Book,16,698,03,book_03_1.MOV,90,90,9491,9581
96,test,Book,16,698,03,book_03_2.MOV,68,68,9581,9649
97,validation,Book,16,698,05,book_05_1.MOV,95,95,9649,9744
98,validation,Book,16,698,05,book_05_2.MOV,78,78,9744,9822
99,train,Book,16,698,06,book_06_1.MOV,86,86,9822,9908
100,train,Book,16,698,06,book_06_2.MOV,56,56,9908,9964
101,test,Bool,17,699,01,Bool_01_1.mov,79,79,9964,10043
102,test,Bool,17,699,01,Bool_01_2.mov,140,140,10043,10183
103,validation,Bool,17,699,05,Bool_05_1.mov,65,65,10183,10248
104,validation,Bool,17,699,05,Bool_05_2.mov,72,72,10248,10320
105,train,Bool,17,699,06,Bool_06_1.mov,57,57,10320,10377
106,train,Bool,17,699,06,Bool_06_2.mov,75,75,10377,10452
107,test,Box,18,700,03,Box_03_1.MOV,75,75,10452,10527
108,test,Box,18,700,03,Box_03_2.MOV,100,100,10527,10627
109,validation,Box,18,700,05,box_05_1.MOV,109,109,10627,10736
110,validation,Box,18,700,05,Box_05_2.MOV,74,74,10736,10810
111,train,Box,18,700,06,Box_06_1.MOV,57,57,10810,10867
112,train,Box,18,700,06,Box_06_2.MOV,68,68,10867,10935
113,test,C++,19,701,01,C++_01_1.mov,173,173,10935,11108
114,test,C++,19,701,01,C++_01_2.mov,115,115,11108,11223
115,train,C++,19,701,02,C++_02_1.mov,222,200,11223,11423
116,train,C++,19,701,02,C++_02_2.mov,138,138,11423,11561
117,validation,C++,19,701,05,C++_05_1.mov,116,116,11561,11677
118,validation,C++,19,701,05,C++_05_2.mov,89,89,11677,11766
119,train,Call,20,702,02,Call_02_1.mov,125,125,11766,11891
120,train,Call,20,702,02,Call_02_2.mov,184,184,11891,12075
121,test,Call,20,702,03,Call_03_1.mov,113,113,12075,12188
122,test,Call,20,702,03,Call_03_2.mov,162,162,12188,12350
123,validation,Call,20,702,05,Call_05_1.mov,95,95,12350,12445
124,validation,Call,20,702,05,Call_05_2.mov,102,102,12445,12547
125,train,Char,21,703,02,Char_02_1.mov,62,62,12547,12609
126,train,Char,21,703,02,Char_02_2.mov,154,154,12609,12763
127,test,Char,21,703,03,Char_03_1.mov,66,66,12763,12829
128,test,Char,21,703,03,Char_03_2.mov,112,112,12829,12941
129,train,Char,21,703,06,Char_06_1.mov,58,58,12941,12999
130,train,Char,21,703,06,Char_06_2.mov,59,59,12999,13058
131,test,Check,22,704,01,Check_01_1.mov,70,70,13058,13128
132,test,Check,22,704,01,Check_01_2.mov,149,149,13128,13277
133,validation,Check,22,704,05,Check_05_1.mov,77,77,13277,13354
134,validation,Check,22,704,05,Check_05_2.mov,103,103,13354,13457
135,train,Check,22,704,06,Check_06_1.mov,66,66,13457,13523
136,train,Check,22,704,06,Check_06_2.mov,79,79,13523,13602
137,train,Class,23,705,02,Class_02_1.mov,121,121,13602,13723
138,train,Class,23,705,02,Class_02_2.mov,215,200,13723,13923
139,test,Class,23,705,03,Class_03_1.mov,117,117,13923,14040
140,test,Class,23,705,03,Class_03_2.mov,206,200,14040,14240
141,validation,Class,23,705,05,Class_05_1.mov,98,98,14240,14338
142,validation,Class,23,705,05,Class_05_2.mov,138,138,14338,14476
143,test,Code,24,706,01,Code_01_1.mov,70,70,14476,14546
144,test,Code,24,706,01,Code_01_2.mov,135,135,14546,14681
145,validation,Code,24,706,05,Code_05_1.mov,88,88,14681,14769
146,validation,Code,24,706,05,Code_05_2.mov,118,118,14769,14887
147,train,Code,24,706,06,Code_06_1.mov,72,72,14887,14959
148,train,Code,24,706,06,Code_06_2.mov,99,99,14959,15058
149,test,Coin,25,707,03,coin_03_1.MOV,122,122,15058,15180
150,test,Coin,25,707,03,coin_03_2.MOV,73,73,15180,15253
151,validation,Coin,25,707,05,coin_05_1.MOV,95,95,15253,15348
152,validation,Coin,25,707,05,coin_05_2.MOV,78,78,15348,15426
153,train,Coin,25,707,06,coin_06_1.MOV,121,121,15426,15547
154,train,Coin,25,707,06,coin_06_2.MOV,53,53,15547,15600
155,test,Colon,26,708,01,Colon_01_1.mov,98,98,15600,15698
156,test,Colon,26,708,01,Colon_01_2.mov,65,65,15698,15763
157,validation,Colon,26,708,05,Colon_05_1.mov,74,74,15763,15837
158,validation,Colon,26,708,05,Colon_05_2.mov,86,86,15837,15923
159,train,Colon,26,708,06,Colon_06_1.mov,75,75,15923,15998
160,train,Colon,26,708,06,Colon_06_2.mov,69,69,15998,16067
161,test,Column,27,709,01,column_01_1.MOV,103,103,16067,16170
162,test,Column,27,709,01,column_01_2.MOV,55,55,16170,16225
163,train,Column,27,709,02,Column_02_1.mov,114,114,16225,16339
164,train,Column,27,709,02,column_02_2.MOV,40,40,16339,16379
165,train,Column,27,709,07,column_07_1.mp4,146,146,16379,16525
166,test,Comment,28,710,01,Comment_01_1.mov,120,120,16525,16645
167,test,Comment,28,710,01,Comment_01_2.mov,185,185,16645,16830
168,validation,Comment,28,710,05,Comment_05_1.mov,70,70,16830,16900
169,validation,Comment,28,710,05,Comment_05_2.mov,95,95,16900,16995
170,train,Comment,28,710,06,Comment_06_1.mov,63,63,16995,17058
171,train,Comment,28,710,06,Comment_06_2.mov,82,82,17058,17140
172,train,Compare,29,711,02,Compare_02_1.mov,73,73,17140,17213
173,train,Compare,29,711,02,Compare_02_2.mov,122,122,17213,17335
174,test,Compare,29,711,03,Compare_03_1.mov,89,89,17335,17424
175,test,Compare,29,711,03,Compare_03_2.mov,138,138,17424,17562
176,train,Compare,29,711,06,Compare_06_1.mov,64,64,17562,17626
177,train,Compare,29,711,06,Compare_06_2.mov,75,75,17626,17701
178,train,Compiler,30,712,02,Compiler_02_1.mov,99,99,17701,17800
179,train,Compiler,30,712,02,Compiler_02_2.mov,160,160,17800,17960
180,test,Compiler,30,712,03,Compiler_03_1.mov,107,107,17960,18067
181,test,Compiler,30,712,03,Compiler_03_2.mov,175,175,18067,18242
182,validation,Compiler,30,712,05,Compiler_05_1.mov,123,123,18242,18365
183,validation,Compiler,30,712,05,Compiler_05_2.mov,113,113,18365,18478
184,test,Complex- composite,31,713,01,Complex- composite_01_1.MOV,243,200,18478,18678
185,test,Complex- composite,31,713,01,Complex- composite_01_2.MOV,107,107,18678,18785
186,train,Complex- composite,31,713,02,Complex- composite_02_1.MOV,134,134,18785,18919
187,train,Complex- composite,31,713,02,Complex- composite_02_2.MOV,244,200,18919,19119
188,train,Complex- composite,31,713,07,Complex- composite_07_1.mp4,200,200,19119,19319
189,test,Constant,32,714,01,constant_01_1.mov,84,84,19319,19403
190,test,Constant,32,714,01,constant_01_2.mov,130,130,19403,19533
191,train,Constant,32,714,02,constant_02_1.mov,98,98,19533,19631
192,train,Constant,32,714,02,constant_02_2.mov,133,133,19631,19764
193,validation,Constant,32,714,05,constant_05_1.mov,93,93,19764,19857
194,validation,Constant,32,714,05,constant_05_2.mov,123,123,19857,19980
195,test,Content,33,715,03,content_03_1.mov,93,93,19980,20073
196,test,Content,33,715,03,content_03_2.mov,138,138,20073,20211
197,validation,Content,33,715,05,content_05_1.mov,98,98,20211,20309
198,validation,Content,33,715,05,content_05_2.mov,127,127,20309,20436
199,train,Content,33,715,06,content_06_1.mov,79,79,20436,20515
200,train,Content,33,715,06,content_06_2.mov,97,97,20515,20612
201,test,Copy,34,716,03,copy_03_1.MOV,107,107,20612,20719
202,test,Copy,34,716,03,copy_03_2.MOV,72,72,20719,20791
203,validation,Copy,34,716,05,copy_05_1.MOV,90,90,20791,20881
204,validation,Copy,34,716,05,copy_05_2.MOV,69,69,20881,20950
205,train,Copy,34,716,06,copy_06_1.MOV,65,65,20950,21015
206,train,Copy,34,716,06,copy_06_2.MOV,56,56,21015,21071
207,test,Cout-print-output,35,717,01,Cout-print-output_01_1.mov,126,126,21071,21197
208,test,Cout-print-output,35,717,01,Cout-print-output_01_2.mov,229,200,21197,21397
209,train,Cout-print-output,35,717,02,Cout-print-output_02_1.mov,120,120,21397,21517
210,train,Cout-print-output,35,717,02,Cout-print-output_02_2.mov,157,157,21517,21674
211,validation,Cout-print-output,35,717,05,Cout-print-output_05_1.mov,93,93,21674,21767
212,validation,Cout-print-output,35,717,05,Cout-print-output_05_2.mov,100,100,21767,21867
213,test,Create,36,718,01,Create_01_1.mov,85,85,21867,21952
214,test,Create,36,718,01,Create_01_2.mov,141,141,21952,22093
215,validation,Create,36,718,05,Create_05_1.mov,82,82,22093,22175
216,validation,Create,36,718,05,Create_05_2.mov,95,95,22175,22270
217,train,Create,36,718,06,Create_06_1.mov,74,74,22270,22344
218,train,Create,36,718,06,Create_06_2.mov,82,82,22344,22426
219,train,Customer,37,719,02,Customer_02_1.MOV,111,111,22426,22537
220,train,Customer,37,719,02,Customer_02_2.MOV,72,72,22537,22609
221,test,Customer,37,719,03,Customer_03_1.MOV,87,87,22609,22696
222,test,Customer,37,719,03,Customer_03_2.MOV,198,198,22696,22894
223,validation,Customer,37,719,05,Customer_05_1.MOV,103,103,22894,22997
224,validation,Customer,37,719,05,Customer_05_2.MOV,64,64,22997,23061
225,test,Data,38,720,01,Data_01_1.mov,96,96,23061,23157
226,test,Data,38,720,01,Data_01_2.mov,159,159,23157,23316
227,train,Data,38,720,02,Data_02_1.mov,201,200,23316,23516
228,train,Data,38,720,02,Data_02_2.mov,117,117,23516,23633
229,validation,Data,38,720,05,Data_05_1.mov,97,97,23633,23730
230,validation,Data,38,720,05,Data_05_2.mov,84,84,23730,23814
231,test,Database,39,721,01,database_01_1.MOV,184,184,23814,23998
232,test,Database,39,721,01,database_01_2.MOV,95,95,23998,24093
233,train,Database,39,721,02,database_02_1.MOV,93,93,24093,24186
234,train,Database,39,721,02,database_02_2.MOV,223,200,24186,24386
235,train,Database,39,721,07,database_07_1.mp4,223,200,24386,24586
236,test,Datatype,40,722,01,Datatype_01_1.mov,239,200,24586,24786
237,test,Datatype,40,722,01,Datatype_01_2.mov,169,169,24786,24955
238,train,Datatype,40,722,02,Datatype_02_1.mov,255,200,24955,25155
239,train,Datatype,40,722,02,Datatype_02_2.mov,152,152,25155,25307
240,validation,Datatype,40,722,05,Datatype_05_1.mov,165,165,25307,25472
241,validation,Datatype,40,722,05,Datatype_05_2.mov,131,131,25472,25603
242,test,Date,41,723,01,date_01_1.MOV,163,163,25603,25766
243,test,Date,41,723,01,date_01_2.MOV,70,70,25766,25836
244,train,Date,41,723,02,date_02_1.MOV,185,185,25836,26021
245,train,Date,41,723,02,date_02_2.MOV,96,96,26021,26117
246,train,Date,41,723,07,date_07_1.mp4,47,47,26117,26164
247,train,Declare,42,724,02,Declare_02_1.mov,148,148,26164,26312
248,train,Declare,42,724,02,Declare_02_2.mov,238,200,26312,26512
249,test,Declare,42,724,03,Declare_03_1.mov,106,106,26512,26618
250,test,Declare,42,724,03,Declare_03_2.mov,194,194,26618,26812
251,train,Declare,42,724,06,Declare_06_1.mov,77,77,26812,26889
252,train,Declare,42,724,06,Declare_06_2.mov,99,99,26889,26988
253,test,Definition,43,725,01,Definition_01_1.mov,79,79,26988,27067
254,test,Definition,43,725,01,Definition_01_2.mov,176,176,27067,27243
255,validation,Definition,43,725,05,Definition_05_1.mov,62,62,27243,27305
256,validation,Definition,43,725,05,Definition_05_2.mov,84,84,27305,27389
257,train,Definition,43,725,06,Definition_06_1.mov,67,67,27389,27456
258,train,Definition,43,725,06,Definition_06_2.mov,88,88,27456,27544
259,test,Delete-remove-pop,44,726,01,Delete-remove-pop_01_1.mov,100,100,27544,27644
260,test,Delete-remove-pop,44,726,01,Delete-remove-pop_01_2.mov,172,172,27644,27816
261,train,Delete-remove-pop,44,726,02,Delete-remove-pop_02_1.mov,117,117,27816,27933
262,train,Delete-remove-pop,44,726,02,Delete-remove-pop_02_2.mov,168,168,27933,28101
263,validation,Delete-remove-pop,44,726,05,Delete-remove-pop_05_1.mov,89,89,28101,28190
264,validation,Delete-remove-pop,44,726,05,Delete-remove-pop_05_2.mov,115,115,28190,28305
265,train,Depend,45,727,02,Depend_02_1.MOV,101,101,28305,28406
266,train,Depend,45,727,02,Depend_02_2.MOV,58,58,28406,28464
267,test,Depend,45,727,03,Depend_03_1.MOV,107,107,28464,28571
268,test,Depend,45,727,03,Depend_03_2.MOV,61,61,28571,28632
269,validation,Depend,45,727,05,Depend_05_1.MOV,64,64,28632,28696
270,validation,Depend,45,727,05,Depend_05_2.MOV,88,88,28696,28784
271,test,Derived,46,728,01,Derived_01_1.MOV,122,122,28784,28906
272,test,Derived,46,728,01,Derived_01_2.MOV,337,200,28906,29106
273,train,Derived,46,728,02,Derived_02_1.MOV,154,154,29106,29260
274,train,Derived,46,728,02,Derived_02_2.MOV,302,200,29260,29460
275,train,Derived,46,728,07,Derived_07_1.mp4,260,200,29460,29660
276,train,Description,47,729,02,Description_02_1.MOV,234,200,29660,29860
277,train,Description,47,729,02,Description_02_2.MOV,155,155,29860,30015
278,test,Description,47,729,03,Description_03_1.MOV,265,200,30015,30215
279,test,Description,47,729,03,Description_03_2.MOV,168,168,30215,30383
280,validation,Description,47,729,05,Description_05_1.MOV,164,164,30383,30547
281,validation,Description,47,729,05,Description_05_2.MOV,127,127,30547,30674
282,test,Destroy,48,730,01,Destroy_01_1.mov,54,54,30674,30728
283,test,Destroy,48,730,01,Destroy_01_2.mov,105,105,30728,30833
284,train,Destroy,48,730,02,Destroy_02_1.mov,77,77,30833,30910
285,train,Destroy,48,730,02,Destroy_02_2.mov,100,100,30910,31010
286,validation,Destroy,48,730,05,Destroy_05_1.mov,89,89,31010,31099
287,validation,Destroy,48,730,05,Destroy_05_2.mov,105,105,31099,31204
288,test,Diamond,49,731,01,diamond_01_1.MOV,145,145,31204,31349
289,test,Diamond,49,731,01,diamond_01_2.MOV,72,72,31349,31421
290,train,Diamond,49,731,02,diamond_02_1.MOV,220,200,31421,31621
291,train,Diamond,49,731,02,diamond_02_2.MOV,99,99,31621,31720
292,train,Diamond,49,731,07,diamond_07_1.mp4,60,60,31720,31780
293,test,Disjoint,50,732,01,disjoint_01_1.MOV,90,90,31780,31870
294,test,Disjoint,50,732,01,disjoint_01_2.MOV,55,55,31870,31925
295,train,Disjoint,50,732,02,disjoint_02_1.MOV,131,131,31925,32056
296,train,Disjoint,50,732,02,disjoint_02_2.MOV,72,72,32056,32128
297,train,Disjoint,50,732,07,disjoint_07_1.mp4,50,50,32128,32178
298,test,Domain,51,733,01,domain_01_1.MOV,174,174,32178,32352
299,test,Domain,51,733,01,domain_01_2.MOV,91,91,32352,32443
300,train,Domain,51,733,02,domain_02_1.MOV,217,200,32443,32643
301,train,Domain,51,733,02,domain_02_2.MOV,104,104,32643,32747
302,train,Domain,51,733,07,domain_07_1.mp4,160,160,32747,32907
303,train,dot operator,52,734,02,dot operator_02_1.mov,58,58,32907,32965
304,train,dot operator,52,734,02,dot operator_02_2.mov,157,157,32965,33122
305,test,dot operator,52,734,03,dot operator_03_1.mov,56,56,33122,33178
306,test,dot operator,52,734,03,dot operator_03_2.mov,107,107,33178,33285
307,train,dot operator,52,734,06,dot operator_06_1.mov,59,59,33285,33344
308,train,dot operator,52,734,06,dot operator_06_2.mov,68,68,33344,33412
309,train,Double,53,735,02,Double_02_1.mov,99,99,33412,33511
310,train,Double,53,735,02,Double_02_2.mov,221,200,33511,33711
311,test,Double,53,735,03,Double_03_1.mov,88,88,33711,33799
312,test,Double,53,735,03,Double_03_3.mov,133,133,33799,33932
313,train,Double,53,735,06,Double_06_1.mov,60,60,33932,33992
314,train,Double,53,735,06,Double_06_2.mov,81,81,33992,34073
315,test,element,54,736,03,element_03_1.MOV,135,135,34073,34208
316,test,element,54,736,03,element_03_2.MOV,94,94,34208,34302
317,validation,element,54,736,05,element_05_1.MOV,95,95,34302,34397
318,validation,element,54,736,05,element_05_2.MOV,73,73,34397,34470
319,train,element,54,736,06,element_06_1.MOV,69,69,34470,34539
320,train,element,54,736,06,element_06_2.MOV,59,59,34539,34598
321,test,Else,55,737,01,Else_01_1.MOV,73,73,34598,34671
322,test,Else,55,737,01,Else_01_2.MOV,166,166,34671,34837
323,validation,Else,55,737,05,Else_05_1.MOV,56,56,34837,34893
324,validation,Else,55,737,05,Else_05_2.MOV,95,95,34893,34988
325,train,Else,55,737,06,Else_06_1.MOV,53,53,34988,35041
326,train,Else,55,737,06,Else_06_2.MOV,84,84,35041,35125
327,test,End,56,738,01,End_01_1.MOV,83,83,35125,35208
328,test,End,56,738,01,End_01_2.MOV,139,139,35208,35347
329,validation,End,56,738,05,End_05_1.MOV,70,70,35347,35417
330,validation,End,56,738,05,End_05_2.MOV,103,103,35417,35520
331,train,End,56,738,06,End_06_1.MOV,79,79,35520,35599
332,train,End,56,738,06,End_06_2.MOV,99,99,35599,35698
333,test,Equal_equlaity,57,739,01,Equal_equlaity_01_1.mov,104,104,35698,35802
334,test,Equal_equlaity,57,739,01,Equal_equlaity_01_2.mov,177,177,35802,35979
335,train,Equal_equlaity,57,739,02,Equal_equlaity_02_1.mov,123,123,35979,36102
336,train,Equal_equlaity,57,739,02,Equal_equlaity_02_2.mov,184,184,36102,36286
337,validation,Equal_equlaity,57,739,05,Equal_equlaity_05_1.mov,109,109,36286,36395
338,validation,Equal_equlaity,57,739,05,Equal_equlaity_05_2.mov,139,139,36395,36534
339,test,Error,58,740,01,Error_01_1.mov,96,96,36534,36630
340,test,Error,58,740,01,Error_01_2.mov,156,156,36630,36786
341,train,Error,58,740,02,Error_02_1.mov,118,118,36786,36904
342,train,Error,58,740,02,Error_02_2.mov,171,171,36904,37075
343,validation,Error,58,740,05,Error_05_1.mov,101,101,37075,37176
344,validation,Error,58,740,05,Error_05_2.mov,183,183,37176,37359
345,test,Example,59,741,01,Example_01_1.mov,88,88,37359,37447
346,test,Example,59,741,01,Example_01_2.mov,131,131,37447,37578
347,train,Example,59,741,02,Example_02_1.mov,100,100,37578,37678
348,train,Example,59,741,02,Example_02_2.mov,173,173,37678,37851
349,validation,Example,59,741,05,Example_05_1.mov,86,86,37851,37937
350,validation,Example,59,741,05,Example_05_2.mov,99,99,37937,38036
351,train,Exercise,60,742,02,Exercise_02_1.MOV,100,100,38036,38136
352,train,Exercise,60,742,02,Exercise_02_2.MOV,135,135,38136,38271
353,test,Exercise,60,742,03,Exercise_03_1.MOV,88,88,38271,38359
354,test,Exercise,60,742,03,Exercise_03_2.MOV,162,162,38359,38521
355,train,Exercise,60,742,06,Exercise_06_1.MOV,66,66,38521,38587
356,train,Exercise,60,742,06,Exercise_06_2.MOV,77,77,38587,38664
357,test,Exist,61,743,01,Exist_01_1.MOV,149,149,38664,38813
358,test,Exist,61,743,01,Exist_01_2.MOV,67,67,38813,38880
359,validation,Exist,61,743,05,Exist_05_1.MOV,89,89,38880,38969
360,validation,Exist,61,743,05,Exist_05_2.MOV,63,63,38969,39032
361,train,Exist,61,743,06,Exist_06_1.MOV,70,70,39032,39102
362,train,Exist,61,743,06,Exist_06_2.MOV,62,62,39102,39164
363,test,Figure,62,744,01,Figure_01_1.mov,73,73,39164,39237
364,test,Figure,62,744,01,Figure_01_2.MOV,117,117,39237,39354
365,validation,Figure,62,744,05,Figure_05_1.MOV,68,68,39354,39422
366,validation,Figure,62,744,05,Figure_05_2.mov,83,83,39422,39505
367,train,Figure,62,744,06,Figure_06_1.mov,66,66,39505,39571
368,train,Figure,62,744,06,Figure_06_2.mov,55,55,39571,39626
369,train,First out,63,745,02,First out_02_1.MOV,88,88,39626,39714
370,train,First out,63,745,02,First out_02_2.MOV,138,138,39714,39852
371,test,First out,63,745,03,First out_03_1.MOV,187,187,39852,40039
372,test,First out,63,745,03,First out_03_2.MOV,104,104,40039,40143
373,validation,First out,63,745,05,First out_05_1.MOV,116,116,40143,40259
374,validation,First out,63,745,05,First out_05_2.MOV,80,80,40259,40339
375,train,First out,63,745,06,First out_06_1.MOV,106,106,40339,40445
376,train,First out,63,745,06,First out_06_2.MOV,98,98,40445,40543
377,test,Foreign key,64,746,01,Foreign key_01_1.MOV,112,112,40543,40655
378,test,Foreign key,64,746,01,Foreign key_01_2.MOV,193,193,40655,40848
379,train,Foreign key,64,746,02,Foreign key_02_1.MOV,207,200,40848,41048
380,train,Foreign key,64,746,02,Foreign key_02_2.MOV,136,136,41048,41184
381,train,Foreign key,64,746,07,Foreign key_07_1.mp4,196,196,41184,41380
382,test,Front,65,747,01,Front_01_1.MOV,61,61,41380,41441
383,test,Front,65,747,01,Front_01_2.MOV,136,136,41441,41577
384,validation,Front,65,747,05,Front_05_1.MOV,68,68,41577,41645
385,validation,Front,65,747,05,Front_05_2.MOV,78,78,41645,41723
386,train,Front,65,747,06,Front_06_1.MOV,64,64,41723,41787
387,train,Front,65,747,06,Front_06_2.MOV,73,73,41787,41860
388,test,Full,66,748,01,Full_01_1.MOV,62,62,41860,41922
389,test,Full,66,748,01,Full_01_2.MOV,93,93,41922,42015
390,validation,Full,66,748,05,Full_05_1.MOV,62,62,42015,42077
391,validation,Full,66,748,05,Full_05_2.MOV,76,76,42077,42153
392,train,Full,66,748,06,Full_06_1.MOV,58,58,42153,42211
393,train,Full,66,748,06,Full_06_2.MOV,68,68,42211,42279
394,test,Function,67,749,01,function_01_1.MOV,137,137,42279,42416
395,test,Function,67,749,01,function_01_2.MOV,69,69,42416,42485
