sample_id,relative_path,split,signer,source_split,sign_id,label_ar,label_en,unified_token,unified_token_id,start,end,frames,face_rate,pose_rate,left_hand_rate,right_hand_rate,best_hand_rate,quality_score,train_eligible
karsl_01_train_0001_01_01_0001_10_11_16_16_21_20_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_20)_c.mp4,train,01,train,0001,0,0,0,847,171,190,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_24_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_24)_c.mp4,train,01,train,0001,0,0,0,847,190,207,17,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_53_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_53)_c.mp4,train,01,train,0001,0,0,0,847,207,226,19,1.0,1.0,1.0,0.789474,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_12_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_12)_c.mp4,train,01,train,0001,0,0,0,847,226,248,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_14_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_14)_c.mp4,train,01,train,0001,0,0,0,847,248,273,25,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_16_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_16)_c.mp4,train,01,train,0001,0,0,0,847,273,291,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_25_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_25)_c.mp4,train,01,train,0001,0,0,0,847,291,310,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_27_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_27)_c.mp4,train,01,train,0001,0,0,0,847,310,328,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_28_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_28)_c.mp4,train,01,train,0001,0,0,0,847,328,343,15,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_30_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_30)_c.mp4,train,01,train,0001,0,0,0,847,343,363,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_32_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_32)_c.mp4,train,01,train,0001,0,0,0,847,363,381,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_34_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_34)_c.mp4,train,01,train,0001,0,0,0,847,381,400,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_36_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_36)_c.mp4,train,01,train,0001,0,0,0,847,400,423,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_38_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_38)_c.mp4,train,01,train,0001,0,0,0,847,423,440,17,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_44_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_44)_c.mp4,train,01,train,0001,0,0,0,847,440,461,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_48_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_48)_c.mp4,train,01,train,0001,0,0,0,847,461,482,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_50_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_50)_c.mp4,train,01,train,0001,0,0,0,847,482,501,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_51_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_51)_c.mp4,train,01,train,0001,0,0,0,847,501,522,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_53_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_53)_c.mp4,train,01,train,0001,0,0,0,847,522,543,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_55_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_55)_c.mp4,train,01,train,0001,0,0,0,847,543,564,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_57_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_57)_c.mp4,train,01,train,0001,0,0,0,847,564,584,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_27_59_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_27_59)_c.mp4,train,01,train,0001,0,0,0,847,584,606,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_01_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_01)_c.mp4,train,01,train,0001,0,0,0,847,606,628,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_11_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_11)_c.mp4,train,01,train,0001,0,0,0,847,628,649,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_15_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_15)_c.mp4,train,01,train,0001,0,0,0,847,649,671,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_17_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_17)_c.mp4,train,01,train,0001,0,0,0,847,671,696,25,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_28_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_28)_c.mp4,train,01,train,0001,0,0,0,847,696,716,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_30_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_30)_c.mp4,train,01,train,0001,0,0,0,847,716,735,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_02_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_02)_c.mp4,train,01,train,0002,1,1,1,848,735,750,15,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_05_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_05)_c.mp4,train,01,train,0002,1,1,1,848,750,771,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_19_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_19)_c.mp4,train,01,train,0001,0,0,0,847,771,794,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_21_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_21)_c.mp4,train,01,train,0001,0,0,0,847,794,815,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_23_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_23)_c.mp4,train,01,train,0001,0,0,0,847,815,837,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_17_11_16_16_28_26_c_mp4,01/train/0001/01_01_0001_(17_11_16_16_28_26)_c.mp4,train,01,train,0001,0,0,0,847,837,858,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_07_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_07)_c.mp4,train,01,train,0002,1,1,1,848,858,876,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_09_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_09)_c.mp4,train,01,train,0002,1,1,1,848,876,897,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_11_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_11)_c.mp4,train,01,train,0002,1,1,1,848,897,920,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_13_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_13)_c.mp4,train,01,train,0002,1,1,1,848,920,950,30,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_18_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_18)_c.mp4,train,01,train,0002,1,1,1,848,950,978,28,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_21_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_21)_c.mp4,train,01,train,0002,1,1,1,848,978,1002,24,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_23_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_23)_c.mp4,train,01,train,0002,1,1,1,848,1002,1027,25,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_25_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_25)_c.mp4,train,01,train,0002,1,1,1,848,1027,1050,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_31_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_31)_c.mp4,train,01,train,0002,1,1,1,848,1050,1075,25,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_32_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_32)_c.mp4,train,01,train,0002,1,1,1,848,1075,1098,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_34_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_34)_c.mp4,train,01,train,0002,1,1,1,848,1098,1114,16,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_36_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_36)_c.mp4,train,01,train,0002,1,1,1,848,1114,1135,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_38_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_38)_c.mp4,train,01,train,0002,1,1,1,848,1135,1159,24,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_39_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_39)_c.mp4,train,01,train,0002,1,1,1,848,1159,1182,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_42_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_42)_c.mp4,train,01,train,0002,1,1,1,848,1182,1211,29,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_44_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_44)_c.mp4,train,01,train,0002,1,1,1,848,1211,1238,27,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_48_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_48)_c.mp4,train,01,train,0002,1,1,1,848,1238,1261,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_10_11_16_16_25_50_c_mp4,01/train/0002/01_01_0002_(10_11_16_16_25_50)_c.mp4,train,01,train,0002,1,1,1,848,1261,1285,24,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_23_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_23)_c.mp4,train,01,train,0002,1,1,1,848,1285,1305,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_25_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_25)_c.mp4,train,01,train,0002,1,1,1,848,1305,1324,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_27_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_27)_c.mp4,train,01,train,0002,1,1,1,848,1324,1343,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_29_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_29)_c.mp4,train,01,train,0002,1,1,1,848,1343,1363,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_31_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_31)_c.mp4,train,01,train,0002,1,1,1,848,1363,1385,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_32_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_32)_c.mp4,train,01,train,0002,1,1,1,848,1385,1406,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_34_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_34)_c.mp4,train,01,train,0002,1,1,1,848,1406,1427,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_36_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_36)_c.mp4,train,01,train,0002,1,1,1,848,1427,1450,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_38_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_38)_c.mp4,train,01,train,0002,1,1,1,848,1450,1472,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_40_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_40)_c.mp4,train,01,train,0002,1,1,1,848,1472,1495,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_49_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_49)_c.mp4,train,01,train,0002,1,1,1,848,1495,1516,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_51_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_51)_c.mp4,train,01,train,0002,1,1,1,848,1516,1537,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_52_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_52)_c.mp4,train,01,train,0002,1,1,1,848,1537,1559,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_54_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_54)_c.mp4,train,01,train,0002,1,1,1,848,1559,1582,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_56_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_56)_c.mp4,train,01,train,0002,1,1,1,848,1582,1606,24,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_29_58_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_29_58)_c.mp4,train,01,train,0002,1,1,1,848,1606,1628,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_30_03_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_30_03)_c.mp4,train,01,train,0002,1,1,1,848,1628,1651,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_30_05_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_30_05)_c.mp4,train,01,train,0002,1,1,1,848,1651,1672,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_30_07_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_30_07)_c.mp4,train,01,train,0002,1,1,1,848,1672,1693,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_30_12_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_30_12)_c.mp4,train,01,train,0002,1,1,1,848,1693,1716,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_30_14_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_30_14)_c.mp4,train,01,train,0002,1,1,1,848,1716,1738,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0002_01_01_0002_17_11_16_16_30_16_c_mp4,01/train/0002/01_01_0002_(17_11_16_16_30_16)_c.mp4,train,01,train,0002,1,1,1,848,1738,1761,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_10_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_10)_c.mp4,train,01,train,0003,2,2,2,849,1761,1780,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_12_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_12)_c.mp4,train,01,train,0003,2,2,2,849,1780,1797,17,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_13_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_13)_c.mp4,train,01,train,0003,2,2,2,849,1797,1817,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_18_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_18)_c.mp4,train,01,train,0003,2,2,2,849,1817,1835,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_22_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_22)_c.mp4,train,01,train,0003,2,2,2,849,1835,1853,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_25_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_25)_c.mp4,train,01,train,0003,2,2,2,849,1853,1874,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_26_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_26)_c.mp4,train,01,train,0003,2,2,2,849,1874,1892,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_28_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_28)_c.mp4,train,01,train,0003,2,2,2,849,1892,1911,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_30_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_30)_c.mp4,train,01,train,0003,2,2,2,849,1911,1933,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_32_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_32)_c.mp4,train,01,train,0003,2,2,2,849,1933,1954,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_33_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_33)_c.mp4,train,01,train,0003,2,2,2,849,1954,1977,23,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_35_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_35)_c.mp4,train,01,train,0003,2,2,2,849,1977,1999,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_37_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_37)_c.mp4,train,01,train,0003,2,2,2,849,1999,2023,24,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_40_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_40)_c.mp4,train,01,train,0003,2,2,2,849,2023,2042,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_42_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_42)_c.mp4,train,01,train,0003,2,2,2,849,2042,2063,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_44_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_44)_c.mp4,train,01,train,0003,2,2,2,849,2063,2085,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_46_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_46)_c.mp4,train,01,train,0003,2,2,2,849,2085,2104,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_47_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_47)_c.mp4,train,01,train,0003,2,2,2,849,2104,2125,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_49_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_49)_c.mp4,train,01,train,0003,2,2,2,849,2125,2146,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_51_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_51)_c.mp4,train,01,train,0003,2,2,2,849,2146,2166,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_52_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_52)_c.mp4,train,01,train,0003,2,2,2,849,2166,2187,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_54_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_54)_c.mp4,train,01,train,0003,2,2,2,849,2187,2206,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_56_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_56)_c.mp4,train,01,train,0003,2,2,2,849,2206,2224,18,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_57_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_57)_c.mp4,train,01,train,0003,2,2,2,849,2224,2243,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_28_59_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_28_59)_c.mp4,train,01,train,0003,2,2,2,849,2243,2264,21,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_29_01_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_29_01)_c.mp4,train,01,train,0003,2,2,2,849,2264,2284,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_10_11_16_16_29_03_c_mp4,01/train/0003/01_01_0003_(10_11_16_16_29_03)_c.mp4,train,01,train,0003,2,2,2,849,2284,2304,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_17_11_16_16_30_51_c_mp4,01/train/0003/01_01_0003_(17_11_16_16_30_51)_c.mp4,train,01,train,0003,2,2,2,849,2304,2326,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_17_11_16_16_30_56_c_mp4,01/train/0003/01_01_0003_(17_11_16_16_30_56)_c.mp4,train,01,train,0003,2,2,2,849,2326,2346,20,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0003_01_01_0003_17_11_16_16_30_58_c_mp4,01/train/0003/01_01_0003_(17_11_16_16_30_58)_c.mp4,train,01,train,0003,2,2,2,849,2346,2366,20,1.0,1.0,1.0,1.0,1.0,1.0,True
