label,video,signer_id,repetition_id,frames,fps,duration_seconds,feature_shape,face_rate,pose_rate,left_hand_rate,right_hand_rate,processing_seconds,status,error
Address,Address_03_1.mov,03,1,130,30.0,4.33,"(130, 1629)",100.0,100.0,43.85,62.31,4.7,success,
Address,Address_03_2.mov,03,2,195,30.0,6.5,"(195, 1629)",100.0,100.0,39.49,66.15,9.59,success,
Address,Address_06_1.mov,06,1,107,30.0,3.57,"(107, 1629)",100.0,100.0,44.86,42.99,3.99,success,
Address,Address_06_2.mov,06,2,146,30.0,4.87,"(146, 1629)",99.32,100.0,45.21,60.96,8.76,success,
After,After_01_1.mov,01,1,110,30.0,3.67,"(110, 1629)",100.0,100.0,11.82,0.0,7.06,success,
After,After_01_2.mov,01,2,133,30.0,4.43,"(133, 1629)",100.0,100.0,6.77,0.0,8.13,success,
After,After_05_1.mov,05,1,109,30.0,3.63,"(109, 1629)",100.0,100.0,39.45,0.0,9.38,success,
After,After_05_2.mov,05,2,109,30.0,3.63,"(109, 1629)",100.0,100.0,41.28,0.0,6.76,success,
After,After_06_1.mov,06,1,86,30.0,2.87,"(86, 1629)",100.0,100.0,31.4,0.0,5.08,success,
After,After_06_2.mov,06,2,99,30.0,3.3,"(99, 1629)",100.0,100.0,23.23,0.0,6.18,success,
Apply,apply_03_1.MOV,03,1,174,30.0,5.8,"(174, 1629)",100.0,100.0,54.6,21.84,10.9,success,
Apply,apply_03_2.MOV,03,2,111,30.0,3.7,"(111, 1629)",100.0,100.0,42.34,22.52,7.08,success,
Apply,apply_05_1.MOV,05,1,133,30.0,4.43,"(133, 1629)",100.0,100.0,34.59,31.58,5.09,success,
Apply,apply_05_2.MOV,05,2,129,30.0,4.3,"(129, 1629)",100.0,100.0,48.84,40.31,7.84,success,
Apply,apply_06_1.MOV,06,1,117,30.0,3.9,"(117, 1629)",100.0,100.0,33.33,28.21,7.57,success,
Apply,apply_06_2.MOV,06,2,103,30.0,3.43,"(103, 1629)",100.0,100.0,44.66,31.07,6.27,success,
Array,Array_03_1.mov,03,1,105,30.0,3.5,"(105, 1629)",100.0,100.0,40.0,43.81,6.56,success,
Array,Array_03_2.mov,03,2,113,30.0,3.77,"(113, 1629)",100.0,100.0,44.25,42.48,4.16,success,
Array,Array_05_1.mov,05,1,150,30.0,5.0,"(150, 1629)",100.0,100.0,38.0,37.33,5.31,success,
Array,Array_05_2.mov,05,2,150,30.0,5.0,"(150, 1629)",100.0,100.0,47.33,46.67,5.2,success,
Array,Array_06_1.mov,06,1,128,30.0,4.27,"(128, 1629)",100.0,100.0,40.62,39.06,4.61,success,
Array,Array_06_2.mov,06,2,109,30.0,3.63,"(109, 1629)",100.0,100.0,57.8,57.8,4.0,success,
Arrow,Arrow_02_1.mov,02,1,126,30.0,4.2,"(126, 1629)",100.0,100.0,35.71,42.86,4.75,success,
Arrow,Arrow_02_2.mov,02,2,201,30.0,6.7,"(201, 1629)",100.0,100.0,41.79,55.22,15.84,success,
Arrow,Arrow_03_1.mov,03,1,115,30.0,3.83,"(115, 1629)",100.0,100.0,46.09,41.74,8.22,success,
Arrow,Arrow_03_2.mov,03,2,190,30.0,6.33,"(190, 1629)",100.0,100.0,47.89,43.68,13.49,success,
Arrow,Arrow_06_1.mov,06,1,95,30.0,3.17,"(95, 1629)",100.0,100.0,40.0,20.0,9.21,success,
Arrow,Arrow_06_2.mov,06,2,125,30.0,4.17,"(125, 1629)",100.0,100.0,43.2,36.8,5.17,success,
Average,Average_01_1.mov,01,1,113,30.0,3.77,"(113, 1629)",100.0,100.0,55.75,47.79,7.19,success,
Average,Average_01_2.mov,01,2,188,30.0,6.27,"(188, 1629)",100.0,100.0,48.4,47.34,7.64,success,
Average,Average_05_1.mov,05,1,129,30.0,4.3,"(129, 1629)",100.0,100.0,44.19,41.86,4.56,success,
Average,Average_05_2.mov,05,2,173,30.0,5.77,"(173, 1629)",100.0,100.0,52.6,50.29,13.21,success,
Average,Average_06_1.mov,06,1,120,30.0,4.0,"(120, 1629)",100.0,100.0,57.5,55.0,7.35,success,
Average,Average_06_2.mov,06,2,133,30.0,4.43,"(133, 1629)",100.0,100.0,58.65,55.64,8.39,success,
Before,Before_01_1.mov,01,1,117,30.0,3.9,"(117, 1629)",100.0,100.0,19.66,0.0,7.15,success,
Before,Before_01_2.mov,01,2,162,30.0,5.4,"(162, 1629)",100.0,100.0,21.6,0.0,12.54,success,
Before,Before_05_1.mov,05,1,102,30.0,3.4,"(102, 1629)",100.0,100.0,30.39,0.0,6.25,success,
Before,Before_05_2.mov,05,2,103,30.0,3.43,"(103, 1629)",100.0,100.0,43.69,0.0,6.51,success,
Before,Before_06_1.mov,06,1,94,30.0,3.13,"(94, 1629)",100.0,100.0,28.72,0.0,6.05,success,
Before,Before_06_2.mov,06,2,100,30.0,3.33,"(100, 1629)",100.0,100.0,33.0,0.0,6.39,success,
Big,Big_01_1.mov,01,1,92,30.0,3.07,"(92, 1629)",100.0,100.0,42.39,35.87,8.57,success,
Big,Big_01_2.mov,01,2,139,30.0,4.63,"(139, 1629)",100.0,100.0,55.4,38.13,8.45,success,
Big,Big_05_1.mov,05,1,102,30.0,3.4,"(102, 1629)",100.0,100.0,37.25,34.31,6.69,success,
Big,Big_05_2.mov,05,2,125,30.0,4.17,"(125, 1629)",100.0,100.0,43.2,40.8,7.81,success,
Big,Big_06_1.mov,06,1,82,30.0,2.73,"(82, 1629)",100.0,100.0,29.27,28.05,5.14,success,
Big,Big_06_2.mov,06,2,101,30.0,3.37,"(101, 1629)",100.0,100.0,38.61,34.65,8.95,success,
Binary relationship,Binary relationship_02_1.mov,02,1,139,30.0,4.63,"(139, 1629)",100.0,100.0,72.66,20.14,8.56,success,
Binary relationship,Binary relationship_02_2.mov,02,2,257,30.0,8.57,"(257, 1629)",100.0,100.0,69.65,20.62,15.02,success,
Binary relationship,Binary relationship_03_1.mov,03,1,175,30.0,5.83,"(175, 1629)",100.0,100.0,54.29,20.57,6.08,success,
Binary relationship,Binary relationship_03_2.mov,03,2,254,30.0,8.47,"(254, 1629)",100.0,100.0,63.39,24.8,11.4,success,
Binary relationship,Binary relationship_05_1.mov,05,1,168,30.0,5.6,"(168, 1629)",100.0,100.0,39.29,15.48,5.84,success,
Binary relationship,Binary relationship_05_2.mov,05,2,198,30.0,6.6,"(198, 1629)",100.0,100.0,48.99,10.1,6.96,success,
Book,book_03_1.MOV,03,1,126,30.0,4.2,"(126, 1629)",100.0,100.0,47.62,38.89,4.47,success,
Book,book_03_2.MOV,03,2,125,30.0,4.17,"(125, 1629)",100.0,100.0,28.8,31.2,4.56,success,
Book,book_05_1.MOV,05,1,133,30.0,4.43,"(133, 1629)",100.0,100.0,44.36,31.58,7.28,success,
Book,book_05_2.MOV,05,2,121,30.0,4.03,"(121, 1629)",100.0,100.0,36.36,27.27,4.28,success,
Book,book_06_1.MOV,06,1,123,30.0,4.1,"(123, 1629)",100.0,100.0,50.41,49.59,4.43,success,
Book,book_06_2.MOV,06,2,120,30.0,4.0,"(120, 1629)",100.0,100.0,25.0,22.5,4.45,success,
Bool,Bool_01_1.mov,01,1,97,30.0,3.23,"(97, 1629)",100.0,100.0,55.67,0.0,3.43,success,
Bool,Bool_01_2.mov,01,2,178,30.0,5.93,"(178, 1629)",100.0,100.0,49.44,0.0,6.1,success,
Bool,Bool_05_1.mov,05,1,99,30.0,3.3,"(99, 1629)",100.0,100.0,38.38,0.0,3.56,success,
Bool,Bool_05_2.mov,05,2,108,30.0,3.6,"(108, 1629)",100.0,100.0,45.37,0.93,6.57,success,
Bool,Bool_06_1.mov,06,1,91,30.0,3.03,"(91, 1629)",100.0,100.0,32.97,0.0,3.29,success,
Bool,Bool_06_2.mov,06,2,110,30.0,3.67,"(110, 1629)",100.0,100.0,48.18,0.0,3.91,success,
Box,Box_03_1.MOV,03,1,115,30.0,3.83,"(115, 1629)",100.0,100.0,26.96,33.04,4.12,success,
Box,Box_03_2.MOV,03,2,126,30.0,4.2,"(126, 1629)",100.0,100.0,26.19,42.06,4.56,success,
Box,box_05_1.MOV,05,1,164,30.0,5.47,"(164, 1629)",100.0,100.0,43.29,43.9,5.7,success,
Box,Box_05_2.MOV,05,2,121,30.0,4.03,"(121, 1629)",100.0,100.0,19.83,26.45,4.25,success,
Box,Box_06_1.MOV,06,1,89,30.0,2.97,"(89, 1629)",100.0,100.0,32.58,29.21,3.23,success,
Box,Box_06_2.MOV,06,2,92,30.0,3.07,"(92, 1629)",100.0,100.0,45.65,33.7,6.04,success,
C++,C++_01_1.mov,01,1,242,30.0,8.07,"(242, 1629)",100.0,100.0,22.31,56.61,8.38,success,
C++,C++_01_2.mov,01,2,177,30.0,5.9,"(177, 1629)",100.0,100.0,25.99,48.59,6.09,success,
C++,C++_02_1.mov,02,1,281,30.0,9.37,"(281, 1629)",100.0,100.0,37.72,54.8,9.58,success,
C++,C++_02_2.mov,02,2,179,30.0,5.97,"(179, 1629)",100.0,100.0,40.78,60.34,6.27,success,
C++,C++_05_1.mov,05,1,187,30.0,6.23,"(187, 1629)",100.0,100.0,50.8,34.22,9.22,success,
C++,C++_05_2.mov,05,2,125,30.0,4.17,"(125, 1629)",100.0,100.0,54.4,42.4,4.77,success,
Call,Call_02_1.mov,02,1,160,30.0,5.33,"(160, 1629)",100.0,100.0,56.88,39.38,5.57,success,
Call,Call_02_2.mov,02,2,256,30.0,8.53,"(256, 1629)",100.0,100.0,57.42,37.11,8.82,success,
Call,Call_03_1.mov,03,1,148,30.0,4.93,"(148, 1629)",100.0,100.0,52.03,40.54,5.27,success,
Call,Call_03_2.mov,03,2,217,30.0,7.23,"(217, 1629)",100.0,100.0,60.83,42.86,10.25,success,
Call,Call_05_1.mov,05,1,141,30.0,4.7,"(141, 1629)",98.58,100.0,43.26,42.55,5.04,success,
Call,Call_05_2.mov,05,2,147,30.0,4.9,"(147, 1629)",100.0,100.0,48.3,43.54,5.29,success,
Char,Char_02_1.mov,02,1,74,30.0,2.47,"(74, 1629)",100.0,100.0,55.41,0.0,2.71,success,
Char,Char_02_2.mov,02,2,209,30.0,6.97,"(209, 1629)",100.0,100.0,48.33,0.0,7.23,success,
Char,Char_03_1.mov,03,1,99,30.0,3.3,"(99, 1629)",100.0,100.0,36.36,0.0,3.61,success,
Char,Char_03_2.mov,03,2,161,30.0,5.37,"(161, 1629)",100.0,100.0,43.48,0.0,8.46,success,
Char,Char_06_1.mov,06,1,87,30.0,2.9,"(87, 1629)",100.0,100.0,36.78,0.0,3.27,success,
Char,Char_06_2.mov,06,2,87,30.0,2.9,"(87, 1629)",100.0,100.0,41.38,0.0,3.15,success,
Check,Check_01_1.mov,01,1,86,30.0,2.87,"(86, 1629)",100.0,100.0,48.84,48.84,3.13,success,
Check,Check_01_2.mov,01,2,200,30.0,6.67,"(200, 1629)",100.0,100.0,52.5,57.0,7.14,success,
Check,Check_05_1.mov,05,1,112,30.0,3.73,"(112, 1629)",100.0,100.0,45.54,44.64,4.03,success,
Check,Check_05_2.mov,05,2,133,30.0,4.43,"(133, 1629)",100.0,100.0,61.65,56.39,4.82,success,
Check,Check_06_1.mov,06,1,110,30.0,3.67,"(110, 1629)",100.0,100.0,38.18,35.45,6.7,success,
Check,Check_06_2.mov,06,2,107,30.0,3.57,"(107, 1629)",100.0,100.0,51.4,51.4,3.86,success,
Class,Class_02_1.mov,02,1,140,30.0,4.67,"(140, 1629)",100.0,100.0,54.29,61.43,5.08,success,
Class,Class_02_2.mov,02,2,262,30.0,8.73,"(262, 1629)",100.0,100.0,52.29,56.11,9.25,success,
Class,Class_03_1.mov,03,1,141,30.0,4.7,"(141, 1629)",100.0,100.0,58.87,60.99,5.04,success,
Class,Class_03_2.mov,03,2,266,30.0,8.87,"(266, 1629)",100.0,100.0,66.17,64.66,9.52,success,
Class,Class_05_1.mov,05,1,148,30.0,4.93,"(148, 1629)",100.0,100.0,45.95,38.51,7.99,success,
Class,Class_05_2.mov,05,2,172,30.0,5.73,"(172, 1629)",100.0,100.0,56.98,52.91,6.09,success,
Code,Code_01_1.mov,01,1,100,30.0,3.33,"(100, 1629)",100.0,100.0,31.0,24.0,3.57,success,
Code,Code_01_2.mov,01,2,171,30.0,5.7,"(171, 1629)",100.0,100.0,45.61,30.41,6.11,success,
Code,Code_05_1.mov,05,1,126,30.0,4.2,"(126, 1629)",100.0,100.0,30.95,35.71,4.42,success,
Code,Code_05_2.mov,05,2,149,30.0,4.97,"(149, 1629)",100.0,100.0,57.72,58.39,5.4,success,
Code,Code_06_1.mov,06,1,102,30.0,3.4,"(102, 1629)",100.0,100.0,44.12,42.16,6.4,success,
Code,Code_06_2.mov,06,2,115,30.0,3.83,"(115, 1629)",100.0,100.0,58.26,53.04,4.14,success,
Coin,coin_03_1.MOV,03,1,122,30.0,4.07,"(122, 1629)",100.0,100.0,59.02,0.0,4.38,success,
Coin,coin_03_2.MOV,03,2,86,30.0,2.87,"(86, 1629)",100.0,100.0,54.65,0.0,3.2,success,
Coin,coin_05_1.MOV,05,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,44.54,0.0,4.33,success,
Coin,coin_05_2.MOV,05,2,112,30.0,3.73,"(112, 1629)",100.0,100.0,35.71,0.0,3.98,success,
Coin,coin_06_1.MOV,06,1,130,30.0,4.33,"(130, 1629)",100.0,100.0,43.85,0.0,4.64,success,
Coin,coin_06_2.MOV,06,2,85,30.0,2.83,"(85, 1629)",100.0,100.0,34.12,0.0,3.08,success,
Colon,Colon_01_1.mov,01,1,134,30.0,4.47,"(134, 1629)",100.0,100.0,39.55,0.0,7.58,success,
Colon,Colon_01_2.mov,01,2,102,30.0,3.4,"(102, 1629)",100.0,100.0,31.37,0.0,3.66,success,
Colon,Colon_05_1.mov,05,1,93,30.0,3.1,"(93, 1629)",100.0,100.0,46.24,0.0,3.3,success,
Colon,Colon_05_2.mov,05,2,103,30.0,3.43,"(103, 1629)",100.0,100.0,55.34,0.0,3.63,success,
Colon,Colon_06_1.mov,06,1,102,30.0,3.4,"(102, 1629)",100.0,100.0,40.2,0.0,3.66,success,
Colon,Colon_06_2.mov,06,2,89,30.0,2.97,"(89, 1629)",100.0,100.0,50.56,0.0,3.43,success,
Column,column_01_1.MOV,01,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,0.0,40.34,4.24,success,
Column,column_01_2.MOV,01,2,63,30.0,2.1,"(63, 1629)",100.0,100.0,0.0,20.63,2.48,success,
Column,Column_02_1.mov,02,1,122,30.0,4.07,"(122, 1629)",100.0,100.0,0.0,59.02,4.38,success,
Column,column_02_2.MOV,02,2,64,30.0,2.13,"(64, 1629)",100.0,100.0,0.0,26.56,5.21,success,
Column,column_07_1.mp4,07,1,150,59.94,2.5,"(150, 1629)",100.0,100.0,76.67,98.0,3.4,success,
Comment,Comment_01_1.mov,01,1,158,30.0,5.27,"(158, 1629)",100.0,100.0,52.53,20.25,5.5,success,
Comment,Comment_01_2.mov,01,2,260,30.0,8.67,"(260, 1629)",100.0,100.0,53.46,18.08,8.95,success,
Comment,Comment_05_1.mov,05,1,108,30.0,3.6,"(108, 1629)",100.0,100.0,36.11,35.19,3.88,success,
Comment,Comment_05_2.mov,05,2,132,30.0,4.4,"(132, 1629)",100.0,100.0,49.24,46.97,4.66,success,
Comment,Comment_06_1.mov,06,1,92,30.0,3.07,"(92, 1629)",100.0,100.0,40.22,39.13,3.4,success,
Comment,Comment_06_2.mov,06,2,109,30.0,3.63,"(109, 1629)",100.0,100.0,48.62,38.53,6.6,success,
Compare,Compare_02_1.mov,02,1,110,30.0,3.67,"(110, 1629)",100.0,100.0,33.64,10.91,3.91,success,
Compare,Compare_02_2.mov,02,2,186,30.0,6.2,"(186, 1629)",100.0,100.0,46.24,26.88,6.84,success,
Compare,Compare_03_1.mov,03,1,114,30.0,3.8,"(114, 1629)",100.0,100.0,44.74,41.23,4.41,success,
Compare,Compare_03_2.mov,03,2,166,30.0,5.53,"(166, 1629)",100.0,100.0,56.63,50.6,6.17,success,
Compare,Compare_06_1.mov,06,1,112,30.0,3.73,"(112, 1629)",100.0,100.0,16.96,24.11,4.39,success,
Compare,Compare_06_2.mov,06,2,106,30.0,3.53,"(106, 1629)",100.0,100.0,34.91,33.02,4.03,success,
Compiler,Compiler_02_1.mov,02,1,117,30.0,3.9,"(117, 1629)",100.0,100.0,52.14,44.44,7.31,success,
Compiler,Compiler_02_2.mov,02,2,189,30.0,6.3,"(189, 1629)",100.0,100.0,50.79,50.26,7.13,success,
Compiler,Compiler_03_1.mov,03,1,140,30.0,4.67,"(140, 1629)",100.0,100.0,39.29,50.0,5.18,success,
Compiler,Compiler_03_2.mov,03,2,219,30.0,7.3,"(219, 1629)",100.0,100.0,39.73,65.3,7.93,success,
Compiler,Compiler_05_1.mov,05,1,136,30.0,4.53,"(136, 1629)",100.0,100.0,44.12,44.85,4.97,success,
Compiler,Compiler_05_2.mov,05,2,150,30.0,5.0,"(150, 1629)",100.0,100.0,54.67,40.67,5.65,success,
Complex- composite,Complex- composite_01_1.MOV,01,1,296,30.0,9.87,"(296, 1629)",100.0,100.0,72.97,59.46,13.59,success,
Complex- composite,Complex- composite_01_2.MOV,01,2,147,30.0,4.9,"(147, 1629)",100.0,100.0,53.74,43.54,5.58,success,
Complex- composite,Complex- composite_02_1.MOV,02,1,158,30.0,5.27,"(158, 1629)",100.0,100.0,66.46,55.06,6.16,success,
Complex- composite,Complex- composite_02_2.MOV,02,2,279,30.0,9.3,"(279, 1629)",100.0,100.0,75.27,60.57,10.79,success,
Complex- composite,Complex- composite_07_1.mp4,07,1,202,59.94,3.37,"(202, 1629)",100.0,100.0,80.69,66.34,7.17,success,
Constant,constant_01_1.mov,01,1,136,30.0,4.53,"(136, 1629)",100.0,100.0,41.18,39.71,5.23,success,
Constant,constant_01_2.mov,01,2,184,30.0,6.13,"(184, 1629)",100.0,100.0,36.41,32.61,6.64,success,
Constant,constant_02_1.mov,02,1,132,30.0,4.4,"(132, 1629)",100.0,100.0,40.15,43.94,4.79,success,
Constant,constant_02_2.mov,02,2,181,30.0,6.03,"(181, 1629)",100.0,100.0,36.46,40.33,7.23,success,
Constant,constant_05_1.mov,05,1,193,30.0,6.43,"(193, 1629)",100.0,100.0,36.27,34.2,7.26,success,
Constant,constant_05_2.mov,05,2,207,30.0,6.9,"(207, 1629)",100.0,100.0,46.38,42.51,10.15,success,
Content,content_03_1.mov,03,1,106,30.0,3.53,"(106, 1629)",100.0,100.0,45.28,31.13,4.0,success,
Content,content_03_2.mov,03,2,153,30.0,5.1,"(153, 1629)",100.0,100.0,44.44,35.95,5.83,success,
Content,content_05_1.mov,05,1,165,30.0,5.5,"(165, 1629)",100.0,100.0,33.94,35.76,5.88,success,
Content,content_05_2.mov,05,2,161,30.0,5.37,"(161, 1629)",100.0,100.0,58.39,60.25,6.36,success,
Content,content_06_1.mov,06,1,113,30.0,3.77,"(113, 1629)",100.0,100.0,49.56,21.24,4.57,success,
Content,content_06_2.mov,06,2,115,30.0,3.83,"(115, 1629)",100.0,100.0,66.09,27.83,7.34,success,
Copy,copy_03_1.MOV,03,1,136,30.0,4.53,"(136, 1629)",100.0,100.0,44.12,61.76,5.53,success,
Copy,copy_03_2.MOV,03,2,96,30.0,3.2,"(96, 1629)",100.0,100.0,34.38,47.92,4.62,success,
Copy,copy_05_1.MOV,05,1,143,30.0,4.77,"(143, 1629)",100.0,100.0,45.45,40.56,9.45,success,
Copy,copy_05_2.MOV,05,2,136,30.0,4.53,"(136, 1629)",100.0,100.0,28.68,22.79,8.36,success,
Copy,copy_06_1.MOV,06,1,113,30.0,3.77,"(113, 1629)",100.0,100.0,34.51,34.51,9.87,success,
Copy,copy_06_2.MOV,06,2,96,30.0,3.2,"(96, 1629)",100.0,100.0,31.25,34.38,6.04,success,
Cout-print-output,Cout-print-output_01_1.mov,01,1,204,30.0,6.8,"(204, 1629)",100.0,100.0,47.06,0.0,12.89,success,
Cout-print-output,Cout-print-output_01_2.mov,01,2,270,30.0,9.0,"(270, 1629)",100.0,100.0,68.89,0.0,14.11,success,
Cout-print-output,Cout-print-output_02_1.mov,02,1,166,30.0,5.53,"(166, 1629)",100.0,100.0,56.02,0.0,9.53,success,
Cout-print-output,Cout-print-output_02_2.mov,02,2,224,30.0,7.47,"(224, 1629)",100.0,100.0,50.89,0.0,14.18,success,
Cout-print-output,Cout-print-output_05_1.mov,05,1,167,30.0,5.57,"(167, 1629)",100.0,100.0,38.92,1.2,10.7,success,
Cout-print-output,Cout-print-output_05_2.mov,05,2,169,30.0,5.63,"(169, 1629)",100.0,100.0,43.79,0.0,13.99,success,
Create,Create_01_1.mov,01,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,34.45,26.05,7.31,success,
Create,Create_01_2.mov,01,2,180,30.0,6.0,"(180, 1629)",100.0,100.0,51.67,25.56,11.33,success,
Create,Create_05_1.mov,05,1,118,30.0,3.93,"(118, 1629)",100.0,100.0,42.37,39.83,7.58,success,
Create,Create_05_2.mov,05,2,132,30.0,4.4,"(132, 1629)",100.0,100.0,44.7,45.45,11.14,success,
Create,Create_06_1.mov,06,1,93,30.0,3.1,"(93, 1629)",100.0,100.0,49.46,46.24,6.36,success,
Create,Create_06_2.mov,06,2,115,30.0,3.83,"(115, 1629)",100.0,100.0,44.35,43.48,7.58,success,
Customer,Customer_02_1.MOV,02,1,144,30.0,4.8,"(144, 1629)",100.0,100.0,43.75,0.0,9.15,success,
Customer,Customer_02_2.MOV,02,2,100,30.0,3.33,"(100, 1629)",100.0,100.0,31.0,0.0,6.27,success,
Customer,Customer_03_1.MOV,03,1,146,30.0,4.87,"(146, 1629)",100.0,100.0,38.36,0.0,5.12,success,
Customer,Customer_03_2.MOV,03,2,198,30.0,6.6,"(198, 1629)",100.0,100.0,48.48,0.0,7.23,success,
Customer,Customer_05_1.MOV,05,1,132,30.0,4.4,"(132, 1629)",100.0,100.0,39.39,0.0,5.11,success,
Customer,Customer_05_2.MOV,05,2,128,30.0,4.27,"(128, 1629)",100.0,100.0,27.34,0.0,4.89,success,
Data,Data_01_1.mov,01,1,134,30.0,4.47,"(134, 1629)",100.0,100.0,41.04,50.0,7.03,success,
Data,Data_01_2.mov,01,2,182,30.0,6.07,"(182, 1629)",100.0,100.0,59.34,73.63,13.96,success,
Data,Data_02_1.mov,02,1,246,30.0,8.2,"(246, 1629)",100.0,100.0,48.37,61.79,15.34,success,
Data,Data_02_2.mov,02,2,167,30.0,5.57,"(167, 1629)",100.0,100.0,40.72,47.9,10.38,success,
Data,Data_05_1.mov,05,1,160,30.0,5.33,"(160, 1629)",100.0,100.0,40.0,29.38,12.65,success,
