label,video,signer_id,repetition_id,raw_frames,fps,raw_duration_seconds,start_frame,end_frame,active_frames,active_duration_seconds,trim_percent,overall_left_rate,overall_right_rate,active_left_rate,active_right_rate,motion_threshold
Array,Array_06_1.mov,06,1,128,30.0,4.267,28,102,75,2.5,41.41,40.62,39.06,69.33,66.67,0.01158841
Array,Array_06_2.mov,06,2,109,30.0,3.633,22,107,86,2.867,21.1,57.8,57.8,73.26,73.26,0.01360785
Arrow,Arrow_02_1.mov,02,1,126,30.0,4.2,25,115,91,3.033,27.78,35.71,42.86,49.45,59.34,0.00704596
Arrow,Arrow_02_2.mov,02,2,201,30.0,6.7,40,200,161,5.367,19.9,41.79,55.22,52.17,68.94,0.00516574
Arrow,Arrow_03_1.mov,03,1,115,30.0,3.833,21,100,80,2.667,30.43,46.09,41.74,66.25,60.0,0.00902075
Arrow,Arrow_03_2.mov,03,2,190,30.0,6.333,37,168,132,4.4,30.53,47.89,43.68,68.94,62.88,0.00763938
Arrow,Arrow_06_1.mov,06,1,95,30.0,3.167,14,78,65,2.167,31.58,40.0,20.0,58.46,29.23,0.0091344
Arrow,Arrow_06_2.mov,06,2,125,30.0,4.167,32,111,80,2.667,36.0,43.2,36.8,67.5,57.5,0.00899617
Average,Average_01_1.mov,01,1,113,30.0,3.767,17,112,96,3.2,15.04,55.75,47.79,65.62,56.25,0.01121305
Average,Average_01_2.mov,01,2,188,30.0,6.267,15,170,156,5.2,17.02,48.4,47.34,58.33,57.05,0.00746492
Average,Average_05_1.mov,05,1,129,30.0,4.3,27,106,80,2.667,37.98,44.19,41.86,71.25,67.5,0.00881412
Average,Average_05_2.mov,05,2,173,30.0,5.767,29,145,117,3.9,32.37,52.6,50.29,77.78,74.36,0.0066814
Average,Average_06_1.mov,06,1,120,30.0,4.0,22,111,90,3.0,25.0,57.5,55.0,76.67,73.33,0.01237047
Average,Average_06_2.mov,06,2,133,30.0,4.433,28,130,103,3.433,22.56,58.65,55.64,75.73,71.84,0.00861952
Before,Before_01_1.mov,01,1,117,30.0,3.9,26,92,67,2.233,42.74,19.66,0.0,34.33,0.0,0.00372325
Before,Before_01_2.mov,01,2,162,30.0,5.4,0,138,139,4.633,14.2,21.6,0.0,25.18,0.0,0.0028289
Before,Before_05_1.mov,05,1,102,30.0,3.4,31,95,65,2.167,36.27,30.39,0.0,47.69,0.0,0.00511584
Before,Before_05_2.mov,05,2,103,30.0,3.433,0,102,103,3.433,0.0,43.69,0.0,43.69,0.0,0.00480977
Before,Before_06_1.mov,06,1,94,30.0,3.133,25,76,52,1.733,44.68,28.72,0.0,51.92,0.0,0.00447066
Before,Before_06_2.mov,06,2,100,30.0,3.333,29,94,66,2.2,34.0,33.0,0.0,50.0,0.0,0.00440463
Big,Big_01_1.mov,01,1,92,30.0,3.067,9,84,76,2.533,17.39,42.39,35.87,51.32,43.42,0.00780054
Big,Big_01_2.mov,01,2,139,30.0,4.633,16,138,123,4.1,11.51,55.4,38.13,62.6,43.09,0.00827269
Big,Big_05_1.mov,05,1,102,30.0,3.4,31,98,68,2.267,33.33,37.25,34.31,55.88,51.47,0.01167363
Big,Big_05_2.mov,05,2,125,30.0,4.167,31,113,83,2.767,33.6,43.2,40.8,65.06,61.45,0.00871124
Big,Big_06_1.mov,06,1,82,30.0,2.733,22,76,55,1.833,32.93,29.27,28.05,43.64,41.82,0.00879188
Big,Big_06_2.mov,06,2,101,30.0,3.367,22,97,76,2.533,24.75,38.61,34.65,51.32,46.05,0.00754398
Binary relationship,Binary relationship_02_1.mov,02,1,139,30.0,4.633,10,138,129,4.3,7.19,72.66,20.14,78.29,21.71,0.01181091
Binary relationship,Binary relationship_02_2.mov,02,2,257,30.0,8.567,34,256,223,7.433,13.23,69.65,20.62,80.27,23.77,0.00751682
Binary relationship,Binary relationship_03_1.mov,03,1,175,30.0,5.833,32,165,134,4.467,23.43,54.29,20.57,70.9,26.87,0.0101276
Binary relationship,Binary relationship_03_2.mov,03,2,254,30.0,8.467,34,234,201,6.7,20.87,63.39,24.8,80.1,31.34,0.00735268
Binary relationship,Binary relationship_05_1.mov,05,1,168,30.0,5.6,38,153,116,3.867,30.95,39.29,15.48,56.9,22.41,0.01309429
Binary relationship,Binary relationship_05_2.mov,05,2,198,30.0,6.6,33,195,163,5.433,17.68,48.99,10.1,59.51,12.27,0.01188909
Book,book_03_1.MOV,03,1,126,30.0,4.2,16,105,90,3.0,28.57,47.62,38.89,66.67,54.44,0.01094383
Book,book_03_2.MOV,03,2,125,30.0,4.167,20,87,68,2.267,45.6,28.8,31.2,52.94,57.35,0.01292664
Book,book_05_1.MOV,05,1,133,30.0,4.433,38,132,95,3.167,28.57,44.36,31.58,62.11,44.21,0.00910156
Book,book_05_2.MOV,05,2,121,30.0,4.033,27,104,78,2.6,35.54,36.36,27.27,56.41,42.31,0.0102697
Book,book_06_1.MOV,06,1,123,30.0,4.1,31,116,86,2.867,30.08,50.41,49.59,72.09,70.93,0.00923068
Book,book_06_2.MOV,06,2,120,30.0,4.0,26,81,56,1.867,53.33,25.0,22.5,53.57,48.21,0.0089045
Bool,Bool_01_1.mov,01,1,97,30.0,3.233,13,91,79,2.633,18.56,55.67,0.0,68.35,0.0,0.00586189
Bool,Bool_01_2.mov,01,2,178,30.0,5.933,24,163,140,4.667,21.35,49.44,0.0,62.86,0.0,0.00639147
Bool,Bool_05_1.mov,05,1,99,30.0,3.3,27,91,65,2.167,34.34,38.38,0.0,58.46,0.0,0.00635426
Bool,Bool_05_2.mov,05,2,108,30.0,3.6,31,102,72,2.4,33.33,45.37,0.93,68.06,1.39,0.00655804
Bool,Bool_06_1.mov,06,1,91,30.0,3.033,22,78,57,1.9,37.36,32.97,0.0,52.63,0.0,0.00640261
Bool,Bool_06_2.mov,06,2,110,30.0,3.667,21,95,75,2.5,31.82,48.18,0.0,70.67,0.0,0.0070809
Box,Box_03_1.MOV,03,1,115,30.0,3.833,21,95,75,2.5,34.78,26.96,33.04,41.33,50.67,0.01394453
Box,Box_03_2.MOV,03,2,126,30.0,4.2,19,118,100,3.333,20.63,26.19,42.06,33.0,53.0,0.01202883
Box,box_05_1.MOV,05,1,164,30.0,5.467,46,154,109,3.633,33.54,43.29,43.9,65.14,66.06,0.01059657
Box,Box_05_2.MOV,05,2,121,30.0,4.033,39,112,74,2.467,38.84,19.83,26.45,32.43,43.24,0.01037495
Box,Box_06_1.MOV,06,1,89,30.0,2.967,21,77,57,1.9,35.96,32.58,29.21,50.88,45.61,0.01311418
Box,Box_06_2.MOV,06,2,92,30.0,3.067,24,91,68,2.267,26.09,45.65,33.7,61.76,45.59,0.01243524
C++,C++_01_1.mov,01,1,242,30.0,8.067,38,210,173,5.767,28.51,22.31,56.61,31.21,79.19,0.00471713
C++,C++_01_2.mov,01,2,177,30.0,5.9,41,155,115,3.833,35.03,25.99,48.59,40.0,74.78,0.00563525
C++,C++_02_1.mov,02,1,281,30.0,9.367,38,259,222,7.4,21.0,37.72,54.8,47.75,69.37,0.00667966
C++,C++_02_2.mov,02,2,179,30.0,5.967,19,156,138,4.6,22.91,40.78,60.34,52.9,78.26,0.00856283
C++,C++_05_1.mov,05,1,187,30.0,6.233,32,147,116,3.867,37.97,50.8,34.22,81.9,55.17,0.0088086
C++,C++_05_2.mov,05,2,125,30.0,4.167,16,104,89,2.967,28.8,54.4,42.4,76.4,59.55,0.00979852
Call,Call_02_1.mov,02,1,160,30.0,5.333,13,137,125,4.167,21.88,56.88,39.38,72.8,50.4,0.00795107
Call,Call_02_2.mov,02,2,256,30.0,8.533,12,195,184,6.133,28.12,57.42,37.11,79.89,51.63,0.00578663
Call,Call_03_1.mov,03,1,148,30.0,4.933,19,131,113,3.767,23.65,52.03,40.54,68.14,53.1,0.0075912
Call,Call_03_2.mov,03,2,217,30.0,7.233,37,198,162,5.4,25.35,60.83,42.86,81.48,57.41,0.00689948
Call,Call_05_1.mov,05,1,141,30.0,4.7,26,120,95,3.167,32.62,43.26,42.55,64.21,63.16,0.01306327
Call,Call_05_2.mov,05,2,147,30.0,4.9,27,128,102,3.4,30.61,48.3,43.54,69.61,62.75,0.01076037
Char,Char_02_1.mov,02,1,74,30.0,2.467,12,73,62,2.067,16.22,55.41,0.0,66.13,0.0,0.00654028
Char,Char_02_2.mov,02,2,209,30.0,6.967,34,187,154,5.133,26.32,48.33,0.0,65.58,0.0,0.00315848
Char,Char_03_1.mov,03,1,99,30.0,3.3,21,86,66,2.2,33.33,36.36,0.0,54.55,0.0,0.00710478
Char,Char_03_2.mov,03,2,161,30.0,5.367,37,148,112,3.733,30.43,43.48,0.0,62.5,0.0,0.00452322
Char,Char_06_1.mov,06,1,87,30.0,2.9,25,82,58,1.933,33.33,36.78,0.0,55.17,0.0,0.00670744
Char,Char_06_2.mov,06,2,87,30.0,2.9,28,86,59,1.967,32.18,41.38,0.0,61.02,0.0,0.00510722
Check,Check_01_1.mov,01,1,86,30.0,2.867,14,83,70,2.333,18.6,48.84,48.84,60.0,60.0,0.01186867
Check,Check_01_2.mov,01,2,200,30.0,6.667,31,179,149,4.967,25.5,52.5,57.0,70.47,76.51,0.00696968
Check,Check_05_1.mov,05,1,112,30.0,3.733,31,107,77,2.567,31.25,45.54,44.64,66.23,64.94,0.0110646
Check,Check_05_2.mov,05,2,133,30.0,4.433,30,132,103,3.433,22.56,61.65,56.39,79.61,72.82,0.00938276
Check,Check_06_1.mov,06,1,110,30.0,3.667,28,93,66,2.2,40.0,38.18,35.45,63.64,59.09,0.01322649
Check,Check_06_2.mov,06,2,107,30.0,3.567,28,106,79,2.633,26.17,51.4,51.4,69.62,69.62,0.01462275
Class,Class_02_1.mov,02,1,140,30.0,4.667,19,139,121,4.033,13.57,54.29,61.43,62.81,71.07,0.01452304
Class,Class_02_2.mov,02,2,262,30.0,8.733,41,255,215,7.167,17.94,52.29,56.11,63.72,68.37,0.01046859
Class,Class_03_1.mov,03,1,141,30.0,4.7,12,128,117,3.9,17.02,58.87,60.99,70.94,73.5,0.01426475
Class,Class_03_2.mov,03,2,266,30.0,8.867,44,249,206,6.867,22.56,66.17,64.66,85.44,83.5,0.01068929
Class,Class_05_1.mov,05,1,148,30.0,4.933,27,124,98,3.267,33.78,45.95,38.51,69.39,58.16,0.01420473
Class,Class_05_2.mov,05,2,172,30.0,5.733,20,157,138,4.6,19.77,56.98,52.91,71.01,65.94,0.01795477
Code,Code_01_1.mov,01,1,100,30.0,3.333,24,93,70,2.333,30.0,31.0,24.0,44.29,34.29,0.00907273
Code,Code_01_2.mov,01,2,171,30.0,5.7,13,147,135,4.5,21.05,45.61,30.41,57.78,38.52,0.00713216
Code,Code_05_1.mov,05,1,126,30.0,4.2,31,118,88,2.933,30.16,30.95,35.71,44.32,51.14,0.0092615
Code,Code_05_2.mov,05,2,149,30.0,4.967,21,138,118,3.933,20.81,57.72,58.39,72.88,73.73,0.01033273
Code,Code_06_1.mov,06,1,102,30.0,3.4,27,98,72,2.4,29.41,44.12,42.16,62.5,59.72,0.01188213
Code,Code_06_2.mov,06,2,115,30.0,3.833,16,114,99,3.3,13.91,58.26,53.04,67.68,61.62,0.00982581
Coin,coin_03_1.MOV,03,1,122,30.0,4.067,0,121,122,4.067,0.0,59.02,0.0,59.02,0.0,0.0053083
Coin,coin_03_2.MOV,03,2,86,30.0,2.867,9,81,73,2.433,15.12,54.65,0.0,64.38,0.0,0.00864727
Coin,coin_05_1.MOV,05,1,119,30.0,3.967,23,117,95,3.167,20.17,44.54,0.0,55.79,0.0,0.00710705
Coin,coin_05_2.MOV,05,2,112,30.0,3.733,32,109,78,2.6,30.36,35.71,0.0,51.28,0.0,0.00668778
Coin,coin_06_1.MOV,06,1,130,30.0,4.333,0,120,121,4.033,6.92,43.85,0.0,47.11,0.0,0.00504617
Coin,coin_06_2.MOV,06,2,85,30.0,2.833,20,72,53,1.767,37.65,34.12,0.0,54.72,0.0,0.00735818
Colon,Colon_01_1.mov,01,1,134,30.0,4.467,20,117,98,3.267,26.87,39.55,0.0,54.08,0.0,0.00348399
Colon,Colon_01_2.mov,01,2,102,30.0,3.4,11,75,65,2.167,36.27,31.37,0.0,49.23,0.0,0.00433495
Colon,Colon_05_1.mov,05,1,93,30.0,3.1,17,90,74,2.467,20.43,46.24,0.0,58.11,0.0,0.00778968
Colon,Colon_05_2.mov,05,2,103,30.0,3.433,17,102,86,2.867,16.5,55.34,0.0,66.28,0.0,0.00659611
Colon,Colon_06_1.mov,06,1,102,30.0,3.4,20,94,75,2.5,26.47,40.2,0.0,54.67,0.0,0.0039332
Colon,Colon_06_2.mov,06,2,89,30.0,2.967,20,88,69,2.3,22.47,50.56,0.0,65.22,0.0,0.00606435
Column,column_01_1.MOV,01,1,119,30.0,3.967,0,102,103,3.433,13.45,0.0,40.34,0.0,46.6,0.00484088
Column,column_01_2.MOV,01,2,63,30.0,2.1,0,54,55,1.833,12.7,0.0,20.63,0.0,23.64,0.00730003
Column,Column_02_1.mov,02,1,122,30.0,4.067,0,113,114,3.8,6.56,0.0,59.02,0.0,63.16,0.00689629
Column,column_02_2.MOV,02,2,64,30.0,2.133,0,39,40,1.333,37.5,0.0,26.56,0.0,42.5,0.00521326
Column,column_07_1.mp4,07,1,150,59.94,2.503,0,145,146,2.436,2.67,76.67,98.0,78.77,97.95,0.00639086
Comment,Comment_01_1.mov,01,1,158,30.0,5.267,19,138,120,4.0,24.05,52.53,20.25,69.17,26.67,0.00624908
Comment,Comment_01_2.mov,01,2,260,30.0,8.667,27,211,185,6.167,28.85,53.46,18.08,75.14,25.41,0.00425679
Comment,Comment_05_1.mov,05,1,108,30.0,3.6,22,91,70,2.333,35.19,36.11,35.19,55.71,54.29,0.00814366
Comment,Comment_05_2.mov,05,2,132,30.0,4.4,29,123,95,3.167,28.03,49.24,46.97,68.42,65.26,0.00808564
Comment,Comment_06_1.mov,06,1,92,30.0,3.067,20,82,63,2.1,31.52,40.22,39.13,58.73,57.14,0.00952863
Comment,Comment_06_2.mov,06,2,109,30.0,3.633,27,108,82,2.733,24.77,48.62,38.53,64.63,51.22,0.00592602
Compare,Compare_02_1.mov,02,1,110,30.0,3.667,15,87,73,2.433,33.64,33.64,10.91,50.68,16.44,0.00729092
Compare,Compare_02_2.mov,02,2,186,30.0,6.2,32,153,122,4.067,34.41,46.24,26.88,70.49,40.98,0.00683256
Compare,Compare_03_1.mov,03,1,114,30.0,3.8,12,100,89,2.967,21.93,44.74,41.23,57.3,52.81,0.00841652
Compare,Compare_03_2.mov,03,2,166,30.0,5.533,19,156,138,4.6,16.87,56.63,50.6,68.12,60.87,0.00771668
Compare,Compare_06_1.mov,06,1,112,30.0,3.733,38,101,64,2.133,42.86,16.96,24.11,29.69,42.19,0.00634893
Compare,Compare_06_2.mov,06,2,106,30.0,3.533,31,105,75,2.5,29.25,34.91,33.02,49.33,46.67,0.00638224
Compiler,Compiler_02_1.mov,02,1,117,30.0,3.9,10,108,99,3.3,15.38,52.14,44.44,61.62,52.53,0.01205285
Compiler,Compiler_02_2.mov,02,2,189,30.0,6.3,22,181,160,5.333,15.34,50.79,50.26,60.0,59.38,0.00940127
Compiler,Compiler_03_1.mov,03,1,140,30.0,4.667,29,135,107,3.567,23.57,39.29,50.0,51.4,65.42,0.00819821
Compiler,Compiler_03_2.mov,03,2,219,30.0,7.3,24,198,175,5.833,20.09,39.73,65.3,49.71,81.71,0.00882821
Compiler,Compiler_05_1.mov,05,1,136,30.0,4.533,0,122,123,4.1,9.56,44.12,44.85,48.78,49.59,0.01155225
Compiler,Compiler_05_2.mov,05,2,150,30.0,5.0,22,134,113,3.767,24.67,54.67,40.67,72.57,53.98,0.01093928
Complex- composite,Complex- composite_01_1.MOV,01,1,296,30.0,9.867,37,279,243,8.1,17.91,72.97,59.46,88.89,72.43,0.0052359
Complex- composite,Complex- composite_01_2.MOV,01,2,147,30.0,4.9,30,136,107,3.567,27.21,53.74,43.54,73.83,59.81,0.00682045
Complex- composite,Complex- composite_02_1.MOV,02,1,158,30.0,5.267,18,151,134,4.467,15.19,66.46,55.06,78.36,64.93,0.00877441
Complex- composite,Complex- composite_02_2.MOV,02,2,279,30.0,9.3,30,273,244,8.133,12.54,75.27,60.57,86.07,69.26,0.0063586
Complex- composite,Complex- composite_07_1.mp4,07,1,202,59.94,3.37,0,199,200,3.337,0.99,80.69,66.34,81.5,67.0,0.00664758
Constant,constant_01_1.mov,01,1,136,30.0,4.533,30,113,84,2.8,38.24,41.18,39.71,66.67,64.29,0.00841535
Constant,constant_01_2.mov,01,2,184,30.0,6.133,37,166,130,4.333,29.35,36.41,32.61,51.54,46.15,0.00530863
Constant,constant_02_1.mov,02,1,132,30.0,4.4,23,120,98,3.267,25.76,40.15,43.94,54.08,59.18,0.00672424
Constant,constant_02_2.mov,02,2,181,30.0,6.033,32,164,133,4.433,26.52,36.46,40.33,49.62,54.89,0.00547546
Constant,constant_05_1.mov,05,1,193,30.0,6.433,55,147,93,3.1,51.81,36.27,34.2,75.27,70.97,0.00704995
Constant,constant_05_2.mov,05,2,207,30.0,6.9,51,173,123,4.1,40.58,46.38,42.51,78.05,71.54,0.00520437
Content,content_03_1.mov,03,1,106,30.0,3.533,12,104,93,3.1,12.26,45.28,31.13,51.61,35.48,0.01969453
Content,content_03_2.mov,03,2,153,30.0,5.1,10,147,138,4.6,9.8,44.44,35.95,49.28,39.86,0.01477241
Content,content_05_1.mov,05,1,165,30.0,5.5,35,132,98,3.267,40.61,33.94,35.76,57.14,60.2,0.01096738
Content,content_05_2.mov,05,2,161,30.0,5.367,28,154,127,4.233,21.12,58.39,60.25,74.02,76.38,0.01138895
Content,content_06_1.mov,06,1,113,30.0,3.767,23,101,79,2.633,30.09,49.56,21.24,70.89,30.38,0.01408841
Content,content_06_2.mov,06,2,115,30.0,3.833,15,111,97,3.233,15.65,66.09,27.83,78.35,32.99,0.01300503
Copy,copy_03_1.MOV,03,1,136,30.0,4.533,13,119,107,3.567,21.32,44.12,61.76,56.07,78.5,0.0137198
Copy,copy_03_2.MOV,03,2,96,30.0,3.2,19,90,72,2.4,25.0,34.38,47.92,45.83,63.89,0.0144075
Copy,copy_05_1.MOV,05,1,143,30.0,4.767,33,122,90,3.0,37.06,45.45,40.56,72.22,64.44,0.0089462
Copy,copy_05_2.MOV,05,2,136,30.0,4.533,30,98,69,2.3,49.26,28.68,22.79,56.52,44.93,0.01008594
Copy,copy_06_1.MOV,06,1,113,30.0,3.767,25,89,65,2.167,42.48,34.51,34.51,60.0,60.0,0.00863506
Copy,copy_06_2.MOV,06,2,96,30.0,3.2,25,80,56,1.867,41.67,31.25,34.38,53.57,58.93,0.01017311
Cout-print-output,Cout-print-output_01_1.mov,01,1,204,30.0,6.8,58,183,126,4.2,38.24,47.06,0.0,76.19,0.0,0.00416399
Cout-print-output,Cout-print-output_01_2.mov,01,2,270,30.0,9.0,25,253,229,7.633,15.19,68.89,0.0,81.22,0.0,0.00351279
Cout-print-output,Cout-print-output_02_1.mov,02,1,166,30.0,5.533,12,131,120,4.0,27.71,56.02,0.0,77.5,0.0,0.00509141
Cout-print-output,Cout-print-output_02_2.mov,02,2,224,30.0,7.467,32,188,157,5.233,29.91,50.89,0.0,72.61,0.0,0.0036336
Cout-print-output,Cout-print-output_05_1.mov,05,1,167,30.0,5.567,57,149,93,3.1,44.31,38.92,1.2,69.89,2.15,0.00530396
Cout-print-output,Cout-print-output_05_2.mov,05,2,169,30.0,5.633,21,120,100,3.333,40.83,43.79,0.0,74.0,0.0,0.00537746
Create,Create_01_1.mov,01,1,119,30.0,3.967,15,99,85,2.833,28.57,34.45,26.05,48.24,36.47,0.00495773
