sample_index,label_id,label,video,signer_id,repetition_id,raw_frames,start_frame,end_frame,active_frames_used,target_frames,left_observed_rate,right_observed_rate,left_short_gap_imputed_rate,right_short_gap_imputed_rate,landmark_file
104,17,Bool,Bool_05_2.mov,05,2,108,31,102,72,200,68.5,1.5,0.0,0.0,Bool\Bool_05_2.npy
105,17,Bool,Bool_06_1.mov,06,1,91,22,78,57,200,53.0,0.0,0.0,0.0,Bool\Bool_06_1.npy
106,17,Bool,Bool_06_2.mov,06,2,110,21,95,75,200,71.5,0.0,0.0,0.0,Bool\Bool_06_2.npy
107,18,Box,Box_03_1.MOV,03,1,115,21,95,75,200,42.0,51.5,14.5,2.5,Box\Box_03_1.npy
108,18,Box,Box_03_2.MOV,03,2,126,19,118,100,200,33.0,53.0,2.0,7.0,Box\Box_03_2.npy
109,18,Box,box_05_1.MOV,05,1,164,46,154,109,200,65.5,66.0,0.0,0.0,Box\box_05_1.npy
110,18,Box,Box_05_2.MOV,05,2,121,39,112,74,200,33.0,43.5,4.0,3.0,Box\Box_05_2.npy
111,18,Box,Box_06_1.MOV,06,1,89,21,77,57,200,52.0,46.0,12.0,0.0,Box\Box_06_1.npy
112,18,Box,Box_06_2.MOV,06,2,92,24,91,68,200,62.5,46.0,1.5,0.0,Box\Box_06_2.npy
113,19,C++,C++_01_1.mov,01,1,242,38,210,173,200,31.0,79.5,3.0,0.0,C++\C++_01_1.npy
114,19,C++,C++_01_2.mov,01,2,177,41,155,115,200,39.5,75.0,4.0,1.0,C++\C++_01_2.npy
115,19,C++,C++_02_1.mov,02,1,281,38,259,222,200,48.0,69.0,0.0,5.0,C++\C++_02_1.npy
116,19,C++,C++_02_2.mov,02,2,179,19,156,138,200,53.0,78.5,0.0,0.0,C++\C++_02_2.npy
117,19,C++,C++_05_1.mov,05,1,187,32,147,116,200,82.5,55.5,0.0,0.0,C++\C++_05_1.npy
118,19,C++,C++_05_2.mov,05,2,125,16,104,89,200,77.0,60.0,1.0,0.0,C++\C++_05_2.npy
119,20,Call,Call_02_1.mov,02,1,160,13,137,125,200,73.0,50.5,0.0,1.0,Call\Call_02_1.npy
120,20,Call,Call_02_2.mov,02,2,256,12,195,184,200,80.0,52.0,0.0,0.0,Call\Call_02_2.npy
121,20,Call,Call_03_1.mov,03,1,148,19,131,113,200,68.5,53.5,0.0,0.0,Call\Call_03_1.npy
122,20,Call,Call_03_2.mov,03,2,217,37,198,162,200,81.5,57.5,0.0,0.0,Call\Call_03_2.npy
123,20,Call,Call_05_1.mov,05,1,141,26,120,95,200,64.5,63.5,3.0,0.0,Call\Call_05_1.npy
124,20,Call,Call_05_2.mov,05,2,147,27,128,102,200,70.0,63.0,6.0,0.0,Call\Call_05_2.npy
125,21,Char,Char_02_1.mov,02,1,74,12,73,62,200,67.0,0.0,0.0,0.0,Char\Char_02_1.npy
126,21,Char,Char_02_2.mov,02,2,209,34,187,154,200,66.0,0.0,0.0,0.0,Char\Char_02_2.npy
127,21,Char,Char_03_1.mov,03,1,99,21,86,66,200,55.0,0.0,0.0,0.0,Char\Char_03_1.npy
128,21,Char,Char_03_2.mov,03,2,161,37,148,112,200,62.5,0.0,0.0,0.0,Char\Char_03_2.npy
129,21,Char,Char_06_1.mov,06,1,87,25,82,58,200,55.5,0.0,2.0,0.0,Char\Char_06_1.npy
130,21,Char,Char_06_2.mov,06,2,87,28,86,59,200,62.0,0.0,1.5,0.0,Char\Char_06_2.npy
131,22,Check,Check_01_1.mov,01,1,86,14,83,70,200,60.0,61.0,6.0,2.5,Check\Check_01_1.npy
132,22,Check,Check_01_2.mov,01,2,200,31,179,149,200,71.0,76.0,8.0,3.0,Check\Check_01_2.npy
133,22,Check,Check_05_1.mov,05,1,112,31,107,77,200,67.0,65.0,9.0,7.0,Check\Check_05_1.npy
134,22,Check,Check_05_2.mov,05,2,133,30,132,103,200,80.0,73.0,5.0,6.0,Check\Check_05_2.npy
135,22,Check,Check_06_1.mov,06,1,110,28,93,66,200,64.0,59.5,0.0,1.5,Check\Check_06_1.npy
136,22,Check,Check_06_2.mov,06,2,107,28,106,79,200,70.5,70.0,0.0,0.0,Check\Check_06_2.npy
137,23,Class,Class_02_1.mov,02,1,140,19,139,121,200,63.0,71.0,0.0,4.0,Class\Class_02_1.npy
138,23,Class,Class_02_2.mov,02,2,262,41,255,215,200,63.5,68.5,1.0,10.0,Class\Class_02_2.npy
139,23,Class,Class_03_1.mov,03,1,141,12,128,117,200,71.0,73.5,3.5,1.0,Class\Class_03_1.npy
140,23,Class,Class_03_2.mov,03,2,266,44,249,206,200,85.0,83.0,2.0,2.5,Class\Class_03_2.npy
141,23,Class,Class_05_1.mov,05,1,148,27,124,98,200,70.0,58.5,2.0,6.5,Class\Class_05_1.npy
142,23,Class,Class_05_2.mov,05,2,172,20,157,138,200,71.5,66.0,1.5,4.5,Class\Class_05_2.npy
143,24,Code,Code_01_1.mov,01,1,100,24,93,70,200,44.5,34.0,10.5,16.5,Code\Code_01_1.npy
144,24,Code,Code_01_2.mov,01,2,171,13,147,135,200,58.0,39.0,9.5,10.5,Code\Code_01_2.npy
145,24,Code,Code_05_1.mov,05,1,126,31,118,88,200,44.5,51.5,0.0,2.5,Code\Code_05_1.npy
146,24,Code,Code_05_2.mov,05,2,149,21,138,118,200,73.5,74.0,1.5,0.0,Code\Code_05_2.npy
147,24,Code,Code_06_1.mov,06,1,102,27,98,72,200,63.0,60.0,0.0,0.0,Code\Code_06_1.npy
148,24,Code,Code_06_2.mov,06,2,115,16,114,99,200,68.0,62.0,4.0,4.0,Code\Code_06_2.npy
149,25,Coin,coin_03_1.MOV,03,1,122,0,121,122,200,59.5,0.0,0.0,0.0,Coin\coin_03_1.npy
150,25,Coin,coin_03_2.MOV,03,2,86,9,81,73,200,65.0,0.0,0.0,0.0,Coin\coin_03_2.npy
151,25,Coin,coin_05_1.MOV,05,1,119,23,117,95,200,56.0,0.0,0.0,0.0,Coin\coin_05_1.npy
152,25,Coin,coin_05_2.MOV,05,2,112,32,109,78,200,52.0,0.0,0.0,0.0,Coin\coin_05_2.npy
153,25,Coin,coin_06_1.MOV,06,1,130,0,120,121,200,47.5,0.0,0.0,0.0,Coin\coin_06_1.npy
154,25,Coin,coin_06_2.MOV,06,2,85,20,72,53,200,55.5,0.0,0.0,0.0,Coin\coin_06_2.npy
155,26,Colon,Colon_01_1.mov,01,1,134,20,117,98,200,54.5,0.0,0.0,0.0,Colon\Colon_01_1.npy
156,26,Colon,Colon_01_2.mov,01,2,102,11,75,65,200,50.0,0.0,4.5,0.0,Colon\Colon_01_2.npy
157,26,Colon,Colon_05_1.mov,05,1,93,17,90,74,200,58.5,0.0,1.5,0.0,Colon\Colon_05_1.npy
158,26,Colon,Colon_05_2.mov,05,2,103,17,102,86,200,67.0,0.0,1.0,0.0,Colon\Colon_05_2.npy
159,26,Colon,Colon_06_1.mov,06,1,102,20,94,75,200,55.0,0.0,4.0,0.0,Colon\Colon_06_1.npy
160,26,Colon,Colon_06_2.mov,06,2,89,20,88,69,200,66.0,0.0,1.5,0.0,Colon\Colon_06_2.npy
161,27,Column,column_01_1.MOV,01,1,119,0,102,103,200,0.0,46.5,0.0,12.0,Column\column_01_1.npy
162,27,Column,column_01_2.MOV,01,2,63,0,54,55,200,0.0,24.0,0.0,0.0,Column\column_01_2.npy
163,27,Column,Column_02_1.mov,02,1,122,0,113,114,200,0.0,63.5,0.0,1.5,Column\Column_02_1.npy
164,27,Column,column_02_2.MOV,02,2,64,0,39,40,200,0.0,43.5,0.0,7.5,Column\column_02_2.npy
165,27,Column,column_07_1.mp4,07,1,150,0,145,146,200,78.5,98.0,1.5,2.0,Column\column_07_1.npy
166,28,Comment,Comment_01_1.mov,01,1,158,19,138,120,200,69.5,26.5,0.0,3.5,Comment\Comment_01_1.npy
167,28,Comment,Comment_01_2.mov,01,2,260,27,211,185,200,75.0,25.5,0.0,5.0,Comment\Comment_01_2.npy
168,28,Comment,Comment_05_1.mov,05,1,108,22,91,70,200,56.5,55.0,1.0,0.0,Comment\Comment_05_1.npy
169,28,Comment,Comment_05_2.mov,05,2,132,29,123,95,200,69.0,65.5,4.0,0.0,Comment\Comment_05_2.npy
170,28,Comment,Comment_06_1.mov,06,1,92,20,82,63,200,59.5,58.0,6.5,0.0,Comment\Comment_06_1.npy
171,28,Comment,Comment_06_2.mov,06,2,109,27,108,82,200,66.0,52.0,5.5,0.0,Comment\Comment_06_2.npy
172,29,Compare,Compare_02_1.mov,02,1,110,15,87,73,200,51.5,17.0,4.0,4.0,Compare\Compare_02_1.npy
173,29,Compare,Compare_02_2.mov,02,2,186,32,153,122,200,71.5,41.5,3.5,13.5,Compare\Compare_02_2.npy
174,29,Compare,Compare_03_1.mov,03,1,114,12,100,89,200,57.5,52.5,0.0,6.0,Compare\Compare_03_1.npy
175,29,Compare,Compare_03_2.mov,03,2,166,19,156,138,200,68.5,61.5,0.0,0.5,Compare\Compare_03_2.npy
176,29,Compare,Compare_06_1.mov,06,1,112,38,101,64,200,30.0,43.0,19.0,8.0,Compare\Compare_06_1.npy
177,29,Compare,Compare_06_2.mov,06,2,106,31,105,75,200,49.5,47.5,1.5,9.0,Compare\Compare_06_2.npy
178,30,Compiler,Compiler_02_1.mov,02,1,117,10,108,99,200,62.0,53.0,4.0,0.0,Compiler\Compiler_02_1.npy
179,30,Compiler,Compiler_02_2.mov,02,2,189,22,181,160,200,60.0,59.5,5.0,2.0,Compiler\Compiler_02_2.npy
180,30,Compiler,Compiler_03_1.mov,03,1,140,29,135,107,200,51.5,66.0,4.0,3.5,Compiler\Compiler_03_1.npy
181,30,Compiler,Compiler_03_2.mov,03,2,219,24,198,175,200,49.0,81.5,6.0,1.0,Compiler\Compiler_03_2.npy
182,30,Compiler,Compiler_05_1.mov,05,1,136,0,122,123,200,49.0,50.0,2.0,0.0,Compiler\Compiler_05_1.npy
183,30,Compiler,Compiler_05_2.mov,05,2,150,22,134,113,200,73.0,54.5,3.5,3.5,Compiler\Compiler_05_2.npy
184,31,Complex- composite,Complex- composite_01_1.MOV,01,1,296,37,279,243,200,89.0,72.0,0.0,0.0,Complex- composite\Complex- composite_01_1.npy
185,31,Complex- composite,Complex- composite_01_2.MOV,01,2,147,30,136,107,200,74.5,60.5,0.0,0.0,Complex- composite\Complex- composite_01_2.npy
186,31,Complex- composite,Complex- composite_02_1.MOV,02,1,158,18,151,134,200,78.5,64.5,0.0,1.0,Complex- composite\Complex- composite_02_1.npy
187,31,Complex- composite,Complex- composite_02_2.MOV,02,2,279,30,273,244,200,86.0,69.0,0.0,0.0,Complex- composite\Complex- composite_02_2.npy
188,31,Complex- composite,Complex- composite_07_1.mp4,07,1,202,0,199,200,200,81.5,67.0,0.0,1.5,Complex- composite\Complex- composite_07_1.npy
189,32,Constant,constant_01_1.mov,01,1,136,30,113,84,200,67.0,65.0,2.5,0.0,Constant\constant_01_1.npy
190,32,Constant,constant_01_2.mov,01,2,184,37,166,130,200,52.0,46.5,3.5,0.0,Constant\constant_01_2.npy
191,32,Constant,constant_02_1.mov,02,1,132,23,120,98,200,54.0,59.0,1.0,7.5,Constant\constant_02_1.npy
192,32,Constant,constant_02_2.mov,02,2,181,32,164,133,200,50.0,55.0,0.0,1.5,Constant\constant_02_2.npy
193,32,Constant,constant_05_1.mov,05,1,193,55,147,93,200,76.0,71.5,1.0,1.0,Constant\constant_05_1.npy
194,32,Constant,constant_05_2.mov,05,2,207,51,173,123,200,78.0,72.0,0.0,0.5,Constant\constant_05_2.npy
195,33,Content,content_03_1.mov,03,1,106,12,104,93,200,52.5,35.0,4.0,8.0,Content\content_03_1.npy
196,33,Content,content_03_2.mov,03,2,153,10,147,138,200,49.5,40.0,2.0,13.5,Content\content_03_2.npy
197,33,Content,content_05_1.mov,05,1,165,35,132,98,200,57.5,60.5,3.0,3.5,Content\content_05_1.npy
198,33,Content,content_05_2.mov,05,2,161,28,154,127,200,74.5,76.5,1.5,1.0,Content\content_05_2.npy
199,33,Content,content_06_1.mov,06,1,113,23,101,79,200,72.0,31.5,1.0,1.0,Content\content_06_1.npy
200,33,Content,content_06_2.mov,06,2,115,15,111,97,200,79.0,33.5,2.0,2.0,Content\content_06_2.npy
201,34,Copy,copy_03_1.MOV,03,1,136,13,119,107,200,56.0,79.0,0.0,0.0,Copy\copy_03_1.npy
202,34,Copy,copy_03_2.MOV,03,2,96,19,90,72,200,46.0,64.5,0.0,0.0,Copy\copy_03_2.npy
203,34,Copy,copy_05_1.MOV,05,1,143,33,122,90,200,72.5,65.0,0.0,0.0,Copy\copy_05_1.npy
204,34,Copy,copy_05_2.MOV,05,2,136,30,98,69,200,57.0,45.5,0.0,0.0,Copy\copy_05_2.npy
205,34,Copy,copy_06_1.MOV,06,1,113,25,89,65,200,61.0,61.0,4.5,1.5,Copy\copy_06_1.npy
206,34,Copy,copy_06_2.MOV,06,2,96,25,80,56,200,54.0,60.0,7.5,1.5,Copy\copy_06_2.npy
207,35,Cout-print-output,Cout-print-output_01_1.mov,01,1,204,58,183,126,200,76.0,0.0,0.0,0.0,Cout-print-output\Cout-print-output_01_1.npy
208,35,Cout-print-output,Cout-print-output_01_2.mov,01,2,270,25,253,229,200,81.5,0.0,0.0,0.0,Cout-print-output\Cout-print-output_01_2.npy
209,35,Cout-print-output,Cout-print-output_02_1.mov,02,1,166,12,131,120,200,78.0,0.0,0.0,0.0,Cout-print-output\Cout-print-output_02_1.npy
210,35,Cout-print-output,Cout-print-output_02_2.mov,02,2,224,32,188,157,200,73.0,0.0,0.0,0.0,Cout-print-output\Cout-print-output_02_2.npy
211,35,Cout-print-output,Cout-print-output_05_1.mov,05,1,167,57,149,93,200,70.5,2.0,0.0,0.0,Cout-print-output\Cout-print-output_05_1.npy
212,35,Cout-print-output,Cout-print-output_05_2.mov,05,2,169,21,120,100,200,74.0,0.0,2.0,0.0,Cout-print-output\Cout-print-output_05_2.npy
213,36,Create,Create_01_1.mov,01,1,119,15,99,85,200,48.5,36.0,0.0,5.5,Create\Create_01_1.npy
214,36,Create,Create_01_2.mov,01,2,180,28,168,141,200,66.0,33.0,2.0,0.5,Create\Create_01_2.npy
215,36,Create,Create_05_1.mov,05,1,118,31,112,82,200,61.0,58.0,0.0,0.0,Create\Create_05_1.npy
216,36,Create,Create_05_2.mov,05,2,132,29,123,95,200,62.5,63.5,0.0,0.0,Create\Create_05_2.npy
217,36,Create,Create_06_1.mov,06,1,93,18,91,74,200,63.0,59.0,1.0,4.0,Create\Create_06_1.npy
218,36,Create,Create_06_2.mov,06,2,115,30,111,82,200,62.0,61.5,5.5,0.0,Create\Create_06_2.npy
219,37,Customer,Customer_02_1.MOV,02,1,144,19,129,111,200,57.0,0.0,1.0,0.0,Customer\Customer_02_1.npy
220,37,Customer,Customer_02_2.MOV,02,2,100,12,83,72,200,42.5,0.0,7.5,0.0,Customer\Customer_02_2.npy
